
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
20:48:39  [tt-quietbox:tt3] loading model…
20:48:44  [tt-quietbox:tt3] 1ahw_abag
20:55:04  [tt-quietbox:tt3]   diffusion 29/200
20:55:04  [tt-quietbox:tt3]   diffusion 30/200
20:55:05  [tt-quietbox:tt3]   diffusion 31/200
20:55:05  [tt-quietbox:tt3]   diffusion 32/200
20:55:06  [tt-quietbox:tt3]   diffusion 33/200
20:55:06  [tt-quietbox:tt3]   diffusion 34/200
20:55:06  [tt-quietbox:tt3]   diffusion 35/200
20:55:07  [tt-quietbox:tt3]   diffusion 36/200
20:55:07  [tt-quietbox:tt3]   diffusion 37/200
20:55:08  [tt-quietbox:tt3]   diffusion 38/200
20:55:08  [tt-quietbox:tt3]   diffusion 39/200
20:55:09  [tt-quietbox:tt3]   diffusion 40/200
20:55:09  [tt-quietbox:tt3]   diffusion 41/200
20:55:10  [tt-quietbox:tt3]   diffusion 42/200
20:55:10  [tt-quietbox:tt3]   diffusion 43/200
20:55:11  [tt-quietbox:tt3]   diffusion 44/200
20:55:11  [tt-quietbox:tt3]   diffusion 45/200
20:55:11  [tt-quietbox:tt3]   diffusion 46/200
20:55:12  [tt-quietbox:tt3]   diffusion 47/200
20:55:12  [tt-quietbox:tt3]   diffusion 48/200
20:55:12  [tt-quietbox:tt3]   diffusion 49/200
20:55:13  [tt-quietbox:tt3]   diffusion 50/200
20:55:13  [tt-quietbox:tt3]   diffusion 51/200
20:55:14  [tt-quietbox:tt3]   diffusion 52/200
20:55:14  [tt-quietbox:tt3]   diffusion 53/200
20:55:14  [tt-quietbox:tt3]   diffusion 54/200
20:55:15  [tt-quietbox:tt3]   diffusion 55/200
20:55:15  [tt-quietbox:tt3]   diffusion 56/200
20:55:16  [tt-quietbox:tt3]   diffusion 57/200
20:55:16  [tt-quietbox:tt3]   diffusion 58/200
20:55:16  [tt-quietbox:tt3]   diffusion 59/200
20:55:17  [tt-quietbox:tt3]   diffusion 60/200
20:55:17  [tt-quietbox:tt3]   diffusion 61/200
20:55:18  [tt-quietbox:tt3]   diffusion 62/200
20:55:18  [tt-quietbox:tt3]   diffusion 63/200
20:55:18  [tt-quietbox:tt3]   diffusion 64/200
20:55:19  [tt-quietbox:tt3]   diffusion 65/200
20:55:19  [tt-quietbox:tt3]   diffusion 66/200
20:55:20  [tt-quietbox:tt3]   diffusion 67/200
20:55:20  [tt-quietbox:tt3]   diffusion 68/200
20:55:21  [tt-quietbox:tt3]   diffusion 69/200
20:55:21  [tt-quietbox:tt3]   diffusion 70/200
20:55:21  [tt-quietbox:tt3]   diffusion 71/200
20:55:22  [tt-quietbox:tt3]   diffusion 72/200
20:55:22  [tt-quietbox:tt3]   diffusion 73/200
