
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
19:10:01  [tt-quietbox:tt3] loading model…
19:10:07  [tt-quietbox:tt3] 1ahw_abag
19:16:20  [tt-quietbox:tt3]   diffusion 28/200
19:16:20  [tt-quietbox:tt3]   diffusion 29/200
19:16:20  [tt-quietbox:tt3]   diffusion 30/200
19:16:21  [tt-quietbox:tt3]   diffusion 31/200
19:16:21  [tt-quietbox:tt3]   diffusion 32/200
19:16:22  [tt-quietbox:tt3]   diffusion 33/200
19:16:22  [tt-quietbox:tt3]   diffusion 34/200
19:16:23  [tt-quietbox:tt3]   diffusion 35/200
19:16:23  [tt-quietbox:tt3]   diffusion 36/200
19:16:23  [tt-quietbox:tt3]   diffusion 37/200
19:16:24  [tt-quietbox:tt3]   diffusion 38/200
19:16:24  [tt-quietbox:tt3]   diffusion 39/200
19:16:25  [tt-quietbox:tt3]   diffusion 40/200
19:16:25  [tt-quietbox:tt3]   diffusion 41/200
19:16:26  [tt-quietbox:tt3]   diffusion 42/200
19:16:26  [tt-quietbox:tt3]   diffusion 43/200
19:16:26  [tt-quietbox:tt3]   diffusion 44/200
19:16:27  [tt-quietbox:tt3]   diffusion 45/200
19:16:27  [tt-quietbox:tt3]   diffusion 46/200
19:16:28  [tt-quietbox:tt3]   diffusion 47/200
19:16:28  [tt-quietbox:tt3]   diffusion 48/200
19:16:29  [tt-quietbox:tt3]   diffusion 49/200
19:16:29  [tt-quietbox:tt3]   diffusion 50/200
19:16:29  [tt-quietbox:tt3]   diffusion 51/200
19:16:30  [tt-quietbox:tt3]   diffusion 52/200
19:16:30  [tt-quietbox:tt3]   diffusion 53/200
19:16:31  [tt-quietbox:tt3]   diffusion 54/200
19:16:31  [tt-quietbox:tt3]   diffusion 55/200
19:16:32  [tt-quietbox:tt3]   diffusion 56/200
19:16:32  [tt-quietbox:tt3]   diffusion 57/200
19:16:32  [tt-quietbox:tt3]   diffusion 58/200
19:16:33  [tt-quietbox:tt3]   diffusion 59/200
19:16:33  [tt-quietbox:tt3]   diffusion 60/200
19:16:34  [tt-quietbox:tt3]   diffusion 61/200
19:16:34  [tt-quietbox:tt3]   diffusion 62/200
19:16:35  [tt-quietbox:tt3]   diffusion 63/200
19:16:35  [tt-quietbox:tt3]   diffusion 64/200
19:16:36  [tt-quietbox:tt3]   diffusion 65/200
19:16:36  [tt-quietbox:tt3]   diffusion 66/200
19:16:36  [tt-quietbox:tt3]   diffusion 67/200
19:16:37  [tt-quietbox:tt3]   diffusion 68/200
19:16:37  [tt-quietbox:tt3]   diffusion 69/200
19:16:38  [tt-quietbox:tt3]   diffusion 70/200
19:16:38  [tt-quietbox:tt3]   diffusion 71/200
19:16:39  [tt-quietbox:tt3]   diffusion 72/200
19:16:39  [tt-quietbox:tt3]   diffusion 73/200
19:16:39  [tt-quietbox:tt3]   diffusion 74/200
19:16:40  [tt-quietbox:tt3]   diffusion 75/200
19:16:40  [tt-quietbox:tt3]   diffusion 76/200
19:16:41  [tt-quietbox:tt3]   diffusion 77/200
19:16:41  [tt-quietbox:tt3]   diffusion 78/200
19:16:42  [tt-quietbox:tt3]   diffusion 79/200
19:16:42  [tt-quietbox:tt3]   diffusion 80/200
19:16:42  [tt-quietbox:tt3]   diffusion 81/200
19:16:43  [tt-quietbox:tt3]   diffusion 82/200
19:16:43  [tt-quietbox:tt3]   diffusion 83/200
19:16:44  [tt-quietbox:tt3]   diffusion 84/200
19:16:44  [tt-quietbox:tt3]   diffusion 85/200
19:16:45  [tt-quietbox:tt3]   diffusion 86/200
19:16:45  [tt-quietbox:tt3]   diffusion 87/200
19:16:45  [tt-quietbox:tt3]   diffusion 88/200
19:16:46  [tt-quietbox:tt3]   diffusion 89/200
19:16:46  [tt-quietbox:tt3]   diffusion 90/200
19:16:47  [tt-quietbox:tt3]   diffusion 91/200
19:16:47  [tt-quietbox:tt3]   diffusion 92/200
19:16:48  [tt-quietbox:tt3]   diffusion 93/200
19:16:48  [tt-quietbox:tt3]   diffusion 94/200
19:16:48  [tt-quietbox:tt3]   diffusion 95/200
19:16:49  [tt-quietbox:tt3]   diffusion 96/200
19:16:49  [tt-quietbox:tt3]   diffusion 97/200
19:16:50  [tt-quietbox:tt3]   diffusion 98/200
19:16:50  [tt-quietbox:tt3]   diffusion 99/200
19:16:50  [tt-quietbox:tt3]   diffusion 100/200
19:16:51  [tt-quietbox:tt3]   diffusion 101/200
19:16:52  [tt-quietbox:tt3]   diffusion 102/200
19:16:52  [tt-quietbox:tt3]   diffusion 103/200
19:16:53  [tt-quietbox:tt3]   diffusion 104/200
19:16:53  [tt-quietbox:tt3]   diffusion 105/200
19:16:54  [tt-quietbox:tt3]   diffusion 106/200
19:16:54  [tt-quietbox:tt3]   diffusion 107/200
19:16:54  [tt-quietbox:tt3]   diffusion 108/200
19:16:55  [tt-quietbox:tt3]   diffusion 109/200
19:16:55  [tt-quietbox:tt3]   diffusion 110/200
19:16:56  [tt-quietbox:tt3]   diffusion 111/200
19:16:56  [tt-quietbox:tt3]   diffusion 112/200
19:16:57  [tt-quietbox:tt3]   diffusion 113/200
19:16:57  [tt-quietbox:tt3]   diffusion 114/200
19:16:57  [tt-quietbox:tt3]   diffusion 115/200
19:16:58  [tt-quietbox:tt3]   diffusion 116/200
19:16:58  [tt-quietbox:tt3]   diffusion 117/200
19:16:59  [tt-quietbox:tt3]   diffusion 118/200
19:16:59  [tt-quietbox:tt3]   diffusion 119/200
19:17:00  [tt-quietbox:tt3]   diffusion 120/200
19:17:00  [tt-quietbox:tt3]   diffusion 121/200
19:17:00  [tt-quietbox:tt3]   diffusion 122/200
19:17:01  [tt-quietbox:tt3]   diffusion 123/200
19:17:01  [tt-quietbox:tt3]   diffusion 124/200
19:17:02  [tt-quietbox:tt3]   diffusion 125/200
19:17:02  [tt-quietbox:tt3]   diffusion 126/200
19:17:03  [tt-quietbox:tt3]   diffusion 127/200
19:17:03  [tt-quietbox:tt3]   diffusion 128/200
19:17:03  [tt-quietbox:tt3]   diffusion 129/200
19:17:04  [tt-quietbox:tt3]   diffusion 130/200
19:17:04  [tt-quietbox:tt3]   diffusion 131/200
19:17:05  [tt-quietbox:tt3]   diffusion 132/200
19:17:05  [tt-quietbox:tt3]   diffusion 133/200
19:17:06  [tt-quietbox:tt3]   diffusion 134/200
19:17:06  [tt-quietbox:tt3]   diffusion 135/200
19:17:06  [tt-quietbox:tt3]   diffusion 136/200
19:17:07  [tt-quietbox:tt3]   diffusion 137/200
19:17:07  [tt-quietbox:tt3]   diffusion 138/200
19:17:08  [tt-quietbox:tt3]   diffusion 139/200
19:17:08  [tt-quietbox:tt3]   diffusion 140/200
19:17:09  [tt-quietbox:tt3]   diffusion 141/200
19:17:09  [tt-quietbox:tt3]   diffusion 142/200
