
======================================================================
[protenix-v2] folding prot.yaml (200 steps, 5 samples)
======================================================================
19:08:17  [tt-quietbox:tt3] loading model…
19:08:21  [tt-quietbox:tt3] prot
19:08:36  [tt-quietbox:tt3]   diffusion 48/200
19:08:36  [tt-quietbox:tt3]   diffusion 49/200
19:08:36  [tt-quietbox:tt3]   diffusion 50/200
19:08:36  [tt-quietbox:tt3]   diffusion 51/200
19:08:37  [tt-quietbox:tt3]   diffusion 52/200
19:08:37  [tt-quietbox:tt3]   diffusion 53/200
19:08:37  [tt-quietbox:tt3]   diffusion 54/200
19:08:37  [tt-quietbox:tt3]   diffusion 55/200
19:08:37  [tt-quietbox:tt3]   diffusion 56/200
19:08:37  [tt-quietbox:tt3]   diffusion 57/200
19:08:37  [tt-quietbox:tt3]   diffusion 58/200
19:08:37  [tt-quietbox:tt3]   diffusion 59/200
19:08:38  [tt-quietbox:tt3]   diffusion 60/200
19:08:38  [tt-quietbox:tt3]   diffusion 61/200
19:08:38  [tt-quietbox:tt3]   diffusion 62/200
19:08:38  [tt-quietbox:tt3]   diffusion 63/200
19:08:38  [tt-quietbox:tt3]   diffusion 64/200
19:08:38  [tt-quietbox:tt3]   diffusion 65/200
19:08:38  [tt-quietbox:tt3]   diffusion 66/200
19:08:38  [tt-quietbox:tt3]   diffusion 67/200
19:08:38  [tt-quietbox:tt3]   diffusion 68/200
19:08:39  [tt-quietbox:tt3]   diffusion 69/200
19:08:39  [tt-quietbox:tt3]   diffusion 70/200
19:08:39  [tt-quietbox:tt3]   diffusion 71/200
19:08:39  [tt-quietbox:tt3]   diffusion 72/200
19:08:39  [tt-quietbox:tt3]   diffusion 73/200
19:08:39  [tt-quietbox:tt3]   diffusion 74/200
19:08:39  [tt-quietbox:tt3]   diffusion 75/200
19:08:40  [tt-quietbox:tt3]   diffusion 76/200
19:08:40  [tt-quietbox:tt3]   diffusion 77/200
19:08:40  [tt-quietbox:tt3]   diffusion 78/200
19:08:40  [tt-quietbox:tt3]   diffusion 79/200
19:08:40  [tt-quietbox:tt3]   diffusion 80/200
19:08:40  [tt-quietbox:tt3]   diffusion 81/200
19:08:40  [tt-quietbox:tt3]   diffusion 82/200
19:08:40  [tt-quietbox:tt3]   diffusion 83/200
19:08:41  [tt-quietbox:tt3]   diffusion 84/200
19:08:41  [tt-quietbox:tt3]   diffusion 85/200
19:08:41  [tt-quietbox:tt3]   diffusion 86/200
19:08:41  [tt-quietbox:tt3]   diffusion 87/200
19:08:41  [tt-quietbox:tt3]   diffusion 88/200
19:08:41  [tt-quietbox:tt3]   diffusion 89/200
19:08:41  [tt-quietbox:tt3]   diffusion 90/200
19:08:41  [tt-quietbox:tt3]   diffusion 91/200
19:08:42  [tt-quietbox:tt3]   diffusion 92/200
19:08:42  [tt-quietbox:tt3]   diffusion 93/200
19:08:42  [tt-quietbox:tt3]   diffusion 94/200
19:08:42  [tt-quietbox:tt3]   diffusion 95/200
19:08:42  [tt-quietbox:tt3]   diffusion 96/200
19:08:42  [tt-quietbox:tt3]   diffusion 97/200
19:08:42  [tt-quietbox:tt3]   diffusion 98/200
19:08:42  [tt-quietbox:tt3]   diffusion 99/200
19:08:42  [tt-quietbox:tt3]   diffusion 100/200
19:08:43  [tt-quietbox:tt3]   diffusion 101/200
19:08:43  [tt-quietbox:tt3]   diffusion 102/200
19:08:43  [tt-quietbox:tt3]   diffusion 103/200
19:08:43  [tt-quietbox:tt3]   diffusion 104/200
19:08:43  [tt-quietbox:tt3]   diffusion 105/200
19:08:43  [tt-quietbox:tt3]   diffusion 106/200
19:08:43  [tt-quietbox:tt3]   diffusion 107/200
19:08:43  [tt-quietbox:tt3]   diffusion 108/200
19:08:43  [tt-quietbox:tt3]   diffusion 109/200
19:08:43  [tt-quietbox:tt3]   diffusion 110/200
19:08:43  [tt-quietbox:tt3]   diffusion 111/200
19:08:43  [tt-quietbox:tt3]   diffusion 112/200
19:08:44  [tt-quietbox:tt3]   diffusion 113/200
