
======================================================================
[opendde] folding prot.yaml (200 steps, 5 samples)
======================================================================
19:09:05  [tt-quietbox:tt3] loading model…
19:09:11  [tt-quietbox:tt3] prot
19:09:38  [tt-quietbox:tt3]   diffusion 106/200
19:09:38  [tt-quietbox:tt3]   diffusion 107/200
19:09:38  [tt-quietbox:tt3]   diffusion 108/200
19:09:38  [tt-quietbox:tt3]   diffusion 109/200
19:09:38  [tt-quietbox:tt3]   diffusion 110/200
19:09:38  [tt-quietbox:tt3]   diffusion 111/200
19:09:38  [tt-quietbox:tt3]   diffusion 112/200
19:09:39  [tt-quietbox:tt3]   diffusion 113/200
19:09:39  [tt-quietbox:tt3]   diffusion 114/200
19:09:39  [tt-quietbox:tt3]   diffusion 115/200
19:09:39  [tt-quietbox:tt3]   diffusion 116/200
19:09:39  [tt-quietbox:tt3]   diffusion 117/200
19:09:39  [tt-quietbox:tt3]   diffusion 118/200
19:09:39  [tt-quietbox:tt3]   diffusion 119/200
19:09:39  [tt-quietbox:tt3]   diffusion 120/200
19:09:40  [tt-quietbox:tt3]   diffusion 121/200
19:09:40  [tt-quietbox:tt3]   diffusion 122/200
19:09:40  [tt-quietbox:tt3]   diffusion 123/200
19:09:40  [tt-quietbox:tt3]   diffusion 124/200
19:09:40  [tt-quietbox:tt3]   diffusion 125/200
19:09:40  [tt-quietbox:tt3]   diffusion 126/200
19:09:40  [tt-quietbox:tt3]   diffusion 127/200
19:09:40  [tt-quietbox:tt3]   diffusion 128/200
19:09:41  [tt-quietbox:tt3]   diffusion 129/200
19:09:41  [tt-quietbox:tt3]   diffusion 130/200
19:09:41  [tt-quietbox:tt3]   diffusion 131/200
19:09:41  [tt-quietbox:tt3]   diffusion 132/200
19:09:41  [tt-quietbox:tt3]   diffusion 133/200
19:09:41  [tt-quietbox:tt3]   diffusion 134/200
19:09:41  [tt-quietbox:tt3]   diffusion 135/200
19:09:41  [tt-quietbox:tt3]   diffusion 136/200
19:09:41  [tt-quietbox:tt3]   diffusion 137/200
19:09:42  [tt-quietbox:tt3]   diffusion 138/200
19:09:42  [tt-quietbox:tt3]   diffusion 139/200
19:09:42  [tt-quietbox:tt3]   diffusion 140/200
19:09:42  [tt-quietbox:tt3]   diffusion 141/200
19:09:42  [tt-quietbox:tt3]   diffusion 142/200
19:09:42  [tt-quietbox:tt3]   diffusion 143/200
19:09:42  [tt-quietbox:tt3]   diffusion 144/200
19:09:42  [tt-quietbox:tt3]   diffusion 145/200
19:09:42  [tt-quietbox:tt3]   diffusion 146/200
19:09:42  [tt-quietbox:tt3]   diffusion 147/200
19:09:43  [tt-quietbox:tt3]   diffusion 148/200
19:09:43  [tt-quietbox:tt3]   diffusion 149/200
19:09:43  [tt-quietbox:tt3]   diffusion 150/200
19:09:43  [tt-quietbox:tt3]   diffusion 151/200
19:09:43  [tt-quietbox:tt3]   diffusion 152/200
19:09:43  [tt-quietbox:tt3]   diffusion 153/200
