
======================================================================
[protenix-v2] folding prot.yaml (200 steps, 5 samples)
======================================================================
20:46:30  [tt-quietbox:tt3] loading model…
20:46:35  [tt-quietbox:tt3] prot
20:47:11  [tt-quietbox:tt3]   diffusion 62/200
20:47:11  [tt-quietbox:tt3]   diffusion 63/200
20:47:11  [tt-quietbox:tt3]   diffusion 64/200
20:47:11  [tt-quietbox:tt3]   diffusion 65/200
20:47:11  [tt-quietbox:tt3]   diffusion 66/200
20:47:11  [tt-quietbox:tt3]   diffusion 67/200
20:47:11  [tt-quietbox:tt3]   diffusion 68/200
20:47:11  [tt-quietbox:tt3]   diffusion 69/200
20:47:11  [tt-quietbox:tt3]   diffusion 70/200
20:47:11  [tt-quietbox:tt3]   diffusion 71/200
20:47:12  [tt-quietbox:tt3]   diffusion 72/200
20:47:12  [tt-quietbox:tt3]   diffusion 73/200
20:47:12  [tt-quietbox:tt3]   diffusion 74/200
20:47:12  [tt-quietbox:tt3]   diffusion 75/200
20:47:12  [tt-quietbox:tt3]   diffusion 76/200
20:47:12  [tt-quietbox:tt3]   diffusion 77/200
20:47:12  [tt-quietbox:tt3]   diffusion 78/200
20:47:12  [tt-quietbox:tt3]   diffusion 79/200
20:47:12  [tt-quietbox:tt3]   diffusion 80/200
20:47:12  [tt-quietbox:tt3]   diffusion 81/200
20:47:12  [tt-quietbox:tt3]   diffusion 82/200
20:47:13  [tt-quietbox:tt3]   diffusion 83/200
20:47:13  [tt-quietbox:tt3]   diffusion 84/200
20:47:13  [tt-quietbox:tt3]   diffusion 85/200
20:47:13  [tt-quietbox:tt3]   diffusion 86/200
20:47:13  [tt-quietbox:tt3]   diffusion 87/200
20:47:13  [tt-quietbox:tt3]   diffusion 88/200
20:47:13  [tt-quietbox:tt3]   diffusion 89/200
20:47:13  [tt-quietbox:tt3]   diffusion 90/200
20:47:13  [tt-quietbox:tt3]   diffusion 91/200
20:47:13  [tt-quietbox:tt3]   diffusion 92/200
20:47:13  [tt-quietbox:tt3]   diffusion 93/200
20:47:13  [tt-quietbox:tt3]   diffusion 94/200
20:47:14  [tt-quietbox:tt3]   diffusion 95/200
20:47:14  [tt-quietbox:tt3]   diffusion 96/200
20:47:14  [tt-quietbox:tt3]   diffusion 97/200
20:47:14  [tt-quietbox:tt3]   diffusion 98/200
20:47:14  [tt-quietbox:tt3]   diffusion 99/200
20:47:14  [tt-quietbox:tt3]   diffusion 100/200
20:47:14  [tt-quietbox:tt3]   diffusion 101/200
20:47:14  [tt-quietbox:tt3]   diffusion 102/200
20:47:14  [tt-quietbox:tt3]   diffusion 103/200
20:47:14  [tt-quietbox:tt3]   diffusion 104/200
20:47:14  [tt-quietbox:tt3]   diffusion 105/200
20:47:15  [tt-quietbox:tt3]   diffusion 106/200
20:47:15  [tt-quietbox:tt3]   diffusion 107/200
20:47:15  [tt-quietbox:tt3]   diffusion 108/200
20:47:15  [tt-quietbox:tt3]   diffusion 109/200
20:47:15  [tt-quietbox:tt3]   diffusion 110/200
20:47:15  [tt-quietbox:tt3]   diffusion 111/200
20:47:15  [tt-quietbox:tt3]   diffusion 112/200
20:47:15  [tt-quietbox:tt3]   diffusion 113/200
20:47:15  [tt-quietbox:tt3]   diffusion 114/200
20:47:15  [tt-quietbox:tt3]   diffusion 115/200
20:47:15  [tt-quietbox:tt3]   diffusion 116/200
20:47:15  [tt-quietbox:tt3]   diffusion 117/200
20:47:16  [tt-quietbox:tt3]   diffusion 118/200
20:47:16  [tt-quietbox:tt3]   diffusion 119/200
20:47:16  [tt-quietbox:tt3]   diffusion 120/200
20:47:16  [tt-quietbox:tt3]   diffusion 121/200
20:47:16  [tt-quietbox:tt3]   diffusion 122/200
20:47:16  [tt-quietbox:tt3]   diffusion 123/200
20:47:16  [tt-quietbox:tt3]   diffusion 124/200
20:47:16  [tt-quietbox:tt3]   diffusion 125/200
20:47:16  [tt-quietbox:tt3]   diffusion 126/200
20:47:16  [tt-quietbox:tt3]   diffusion 127/200
20:47:16  [tt-quietbox:tt3]   diffusion 128/200
20:47:16  [tt-quietbox:tt3]   diffusion 129/200
20:47:17  [tt-quietbox:tt3]   diffusion 130/200
20:47:17  [tt-quietbox:tt3]   diffusion 131/200
20:47:17  [tt-quietbox:tt3]   diffusion 132/200
20:47:17  [tt-quietbox:tt3]   diffusion 133/200
20:47:17  [tt-quietbox:tt3]   diffusion 134/200
20:47:17  [tt-quietbox:tt3]   diffusion 135/200
20:47:17  [tt-quietbox:tt3]   diffusion 136/200
20:47:17  [tt-quietbox:tt3]   diffusion 137/200
20:47:17  [tt-quietbox:tt3]   diffusion 138/200
20:47:17  [tt-quietbox:tt3]   diffusion 139/200
20:47:17  [tt-quietbox:tt3]   diffusion 140/200
20:47:17  [tt-quietbox:tt3]   diffusion 141/200
20:47:18  [tt-quietbox:tt3]   diffusion 142/200
20:47:18  [tt-quietbox:tt3]   diffusion 143/200
20:47:18  [tt-quietbox:tt3]   diffusion 144/200
20:47:18  [tt-quietbox:tt3]   diffusion 145/200
20:47:18  [tt-quietbox:tt3]   diffusion 146/200
20:47:18  [tt-quietbox:tt3]   diffusion 147/200
20:47:18  [tt-quietbox:tt3]   diffusion 148/200
20:47:18  [tt-quietbox:tt3]   diffusion 149/200
20:47:18  [tt-quietbox:tt3]   diffusion 150/200
20:47:18  [tt-quietbox:tt3]   diffusion 151/200
20:47:19  [tt-quietbox:tt3]   diffusion 152/200
20:47:19  [tt-quietbox:tt3]   diffusion 153/200
20:47:19  [tt-quietbox:tt3]   diffusion 154/200
20:47:19  [tt-quietbox:tt3]   diffusion 155/200
20:47:19  [tt-quietbox:tt3]   diffusion 156/200
20:47:19  [tt-quietbox:tt3]   diffusion 157/200
20:47:19  [tt-quietbox:tt3]   diffusion 158/200
20:47:19  [tt-quietbox:tt3]   diffusion 159/200
20:47:19  [tt-quietbox:tt3]   diffusion 160/200
20:47:19  [tt-quietbox:tt3]   diffusion 161/200
20:47:19  [tt-quietbox:tt3]   diffusion 162/200
20:47:20  [tt-quietbox:tt3]   diffusion 163/200
20:47:20  [tt-quietbox:tt3]   diffusion 164/200
20:47:20  [tt-quietbox:tt3]   diffusion 165/200
20:47:20  [tt-quietbox:tt3]   diffusion 166/200
20:47:20  [tt-quietbox:tt3]   diffusion 167/200
20:47:20  [tt-quietbox:tt3]   diffusion 168/200
20:47:20  [tt-quietbox:tt3]   diffusion 169/200
20:47:20  [tt-quietbox:tt3]   diffusion 170/200
20:47:20  [tt-quietbox:tt3]   diffusion 171/200
20:47:20  [tt-quietbox:tt3]   diffusion 172/200
20:47:20  [tt-quietbox:tt3]   diffusion 173/200
20:47:21  [tt-quietbox:tt3]   diffusion 174/200
20:47:21  [tt-quietbox:tt3]   diffusion 175/200
20:47:21  [tt-quietbox:tt3]   diffusion 176/200
20:47:21  [tt-quietbox:tt3]   diffusion 177/200
20:47:21  [tt-quietbox:tt3]   diffusion 178/200
20:47:21  [tt-quietbox:tt3]   diffusion 179/200
20:47:21  [tt-quietbox:tt3]   diffusion 180/200
20:47:21  [tt-quietbox:tt3]   diffusion 181/200
20:47:21  [tt-quietbox:tt3]   diffusion 182/200
20:47:21  [tt-quietbox:tt3]   diffusion 183/200
