01:01:09  [tt-quietbox2:tt0] loading model…
01:01:10  [tt-quietbox2:tt0] prot
01:01:20  [tt-quietbox2:tt0]   diffusion 93/200
01:01:20  [tt-quietbox2:tt0]   diffusion 94/200
01:01:21  [tt-quietbox2:tt0]   diffusion 95/200
01:01:21  [tt-quietbox2:tt0]   diffusion 96/200
01:01:21  [tt-quietbox2:tt0]   diffusion 97/200
01:01:21  [tt-quietbox2:tt0]   diffusion 98/200
01:01:21  [tt-quietbox2:tt0]   diffusion 99/200
01:01:21  [tt-quietbox2:tt0]   diffusion 100/200
01:01:21  [tt-quietbox2:tt0]   diffusion 101/200
01:01:21  [tt-quietbox2:tt0]   diffusion 102/200
01:01:21  [tt-quietbox2:tt0]   diffusion 103/200
01:01:21  [tt-quietbox2:tt0]   diffusion 104/200
01:01:21  [tt-quietbox2:tt0]   diffusion 105/200
01:01:21  [tt-quietbox2:tt0]   diffusion 106/200
01:01:21  [tt-quietbox2:tt0]   diffusion 107/200
01:01:21  [tt-quietbox2:tt0]   diffusion 108/200
01:01:21  [tt-quietbox2:tt0]   diffusion 109/200
01:01:21  [tt-quietbox2:tt0]   diffusion 110/200
01:01:21  [tt-quietbox2:tt0]   diffusion 111/200
01:01:21  [tt-quietbox2:tt0]   diffusion 112/200
01:01:22  [tt-quietbox2:tt0]   diffusion 113/200
01:01:22  [tt-quietbox2:tt0]   diffusion 114/200
01:01:22  [tt-quietbox2:tt0]   diffusion 115/200
01:01:22  [tt-quietbox2:tt0]   diffusion 116/200
01:01:22  [tt-quietbox2:tt0]   diffusion 117/200
01:01:22  [tt-quietbox2:tt0]   diffusion 118/200
01:01:22  [tt-quietbox2:tt0]   diffusion 119/200
01:01:22  [tt-quietbox2:tt0]   diffusion 120/200
01:01:22  [tt-quietbox2:tt0]   diffusion 121/200
01:01:22  [tt-quietbox2:tt0]   diffusion 122/200
01:01:22  [tt-quietbox2:tt0]   diffusion 123/200
01:01:22  [tt-quietbox2:tt0]   diffusion 124/200
01:01:22  [tt-quietbox2:tt0]   diffusion 125/200
01:01:22  [tt-quietbox2:tt0]   diffusion 126/200
01:01:22  [tt-quietbox2:tt0]   diffusion 127/200
01:01:22  [tt-quietbox2:tt0]   diffusion 128/200
01:01:22  [tt-quietbox2:tt0]   diffusion 129/200
01:01:22  [tt-quietbox2:tt0]   diffusion 130/200
01:01:23  [tt-quietbox2:tt0]   diffusion 131/200
01:01:23  [tt-quietbox2:tt0]   diffusion 132/200
01:01:23  [tt-quietbox2:tt0]   diffusion 133/200
01:01:23  [tt-quietbox2:tt0]   diffusion 134/200
01:01:23  [tt-quietbox2:tt0]   diffusion 135/200
01:01:23  [tt-quietbox2:tt0]   diffusion 136/200
01:01:23  [tt-quietbox2:tt0]   diffusion 137/200
01:01:23  [tt-quietbox2:tt0]   diffusion 138/200
01:01:23  [tt-quietbox2:tt0]   diffusion 139/200
01:01:23  [tt-quietbox2:tt0]   diffusion 140/200
01:01:23  [tt-quietbox2:tt0]   diffusion 141/200
01:01:23  [tt-quietbox2:tt0]   diffusion 142/200
01:01:23  [tt-quietbox2:tt0]   diffusion 143/200
01:01:23  [tt-quietbox2:tt0]   diffusion 144/200
01:01:23  [tt-quietbox2:tt0]   diffusion 145/200
01:01:23  [tt-quietbox2:tt0]   diffusion 146/200
01:01:23  [tt-quietbox2:tt0]   diffusion 147/200
01:01:23  [tt-quietbox2:tt0]   diffusion 148/200
01:01:24  [tt-quietbox2:tt0]   diffusion 149/200
01:01:24  [tt-quietbox2:tt0]   diffusion 150/200
01:01:24  [tt-quietbox2:tt0]   diffusion 151/200
01:01:24  [tt-quietbox2:tt0]   diffusion 152/200
01:01:24  [tt-quietbox2:tt0]   diffusion 153/200
01:01:24  [tt-quietbox2:tt0]   diffusion 154/200
01:01:24  [tt-quietbox2:tt0]   diffusion 155/200
01:01:24  [tt-quietbox2:tt0]   diffusion 156/200
01:01:24  [tt-quietbox2:tt0]   diffusion 157/200
01:01:24  [tt-quietbox2:tt0]   diffusion 158/200
01:01:24  [tt-quietbox2:tt0]   diffusion 159/200
01:01:24  [tt-quietbox2:tt0]   diffusion 160/200
01:01:24  [tt-quietbox2:tt0]   diffusion 161/200
01:01:24  [tt-quietbox2:tt0]   diffusion 162/200
01:01:24  [tt-quietbox2:tt0]   diffusion 163/200
01:01:24  [tt-quietbox2:tt0]   diffusion 164/200
01:01:24  [tt-quietbox2:tt0]   diffusion 165/200
01:01:24  [tt-quietbox2:tt0]   diffusion 166/200
01:01:25  [tt-quietbox2:tt0]   diffusion 167/200
01:01:25  [tt-quietbox2:tt0]   diffusion 168/200
01:01:25  [tt-quietbox2:tt0]   diffusion 169/200
01:01:25  [tt-quietbox2:tt0]   diffusion 170/200
01:01:25  [tt-quietbox2:tt0]   diffusion 171/200
01:01:25  [tt-quietbox2:tt0]   diffusion 172/200
01:01:25  [tt-quietbox2:tt0]   diffusion 173/200
01:01:25  [tt-quietbox2:tt0]   diffusion 174/200
01:01:25  [tt-quietbox2:tt0]   diffusion 175/200
01:01:25  [tt-quietbox2:tt0]   diffusion 176/200
01:01:25  [tt-quietbox2:tt0]   diffusion 177/200
01:01:25  [tt-quietbox2:tt0]   diffusion 178/200
01:01:25  [tt-quietbox2:tt0]   diffusion 179/200
01:01:25  [tt-quietbox2:tt0]   diffusion 180/200
01:01:25  [tt-quietbox2:tt0]   diffusion 181/200
01:01:25  [tt-quietbox2:tt0]   diffusion 182/200
01:01:25  [tt-quietbox2:tt0]   diffusion 183/200
01:01:25  [tt-quietbox2:tt0]   diffusion 184/200
01:01:26  [tt-quietbox2:tt0]   diffusion 185/200
01:01:26  [tt-quietbox2:tt0]   diffusion 186/200
01:01:26  [tt-quietbox2:tt0]   diffusion 187/200
01:01:26  [tt-quietbox2:tt0]   diffusion 188/200
01:01:26  [tt-quietbox2:tt0]   diffusion 189/200
01:01:26  [tt-quietbox2:tt0]   diffusion 190/200
01:01:26  [tt-quietbox2:tt0]   diffusion 191/200
01:01:26  [tt-quietbox2:tt0]   diffusion 192/200
01:01:26  [tt-quietbox2:tt0]   diffusion 193/200
01:01:26  [tt-quietbox2:tt0]   diffusion 194/200
01:01:26  [tt-quietbox2:tt0]   diffusion 195/200
01:01:26  [tt-quietbox2:tt0]   diffusion 196/200
01:01:26  [tt-quietbox2:tt0]   diffusion 197/200
01:01:26  [tt-quietbox2:tt0]   diffusion 198/200
01:01:26  [tt-quietbox2:tt0]   diffusion 199/200
01:01:27  [tt-quietbox2:tt0]   saving
01:01:27  [tt-quietbox2:tt0] ✓ prot — 16.7s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/pairformer-resident-chunking/docs/implementation-parity-data/ref-fixtures/protenix-v2/prot/msa-server_200step_5sample_10cycle_bf16/ref_bf16/protenix_results_prot/results.json
