
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
00:28:01  [tt-quietbox:tt1] loading model…
00:28:07  [tt-quietbox:tt1] 1ahw_abag
00:33:27  [tt-quietbox:tt1]   diffusion 35/200
00:33:27  [tt-quietbox:tt1]   diffusion 36/200
00:33:28  [tt-quietbox:tt1]   diffusion 37/200
00:33:28  [tt-quietbox:tt1]   diffusion 38/200
00:33:28  [tt-quietbox:tt1]   diffusion 39/200
00:33:29  [tt-quietbox:tt1]   diffusion 40/200
00:33:29  [tt-quietbox:tt1]   diffusion 41/200
00:33:29  [tt-quietbox:tt1]   diffusion 42/200
00:33:30  [tt-quietbox:tt1]   diffusion 43/200
00:33:30  [tt-quietbox:tt1]   diffusion 44/200
00:33:30  [tt-quietbox:tt1]   diffusion 45/200
00:33:31  [tt-quietbox:tt1]   diffusion 46/200
00:33:31  [tt-quietbox:tt1]   diffusion 47/200
00:33:31  [tt-quietbox:tt1]   diffusion 48/200
00:33:32  [tt-quietbox:tt1]   diffusion 49/200
00:33:32  [tt-quietbox:tt1]   diffusion 50/200
00:33:32  [tt-quietbox:tt1]   diffusion 51/200
00:33:33  [tt-quietbox:tt1]   diffusion 52/200
00:33:33  [tt-quietbox:tt1]   diffusion 53/200
00:33:33  [tt-quietbox:tt1]   diffusion 54/200
00:33:34  [tt-quietbox:tt1]   diffusion 55/200
00:33:34  [tt-quietbox:tt1]   diffusion 56/200
00:33:35  [tt-quietbox:tt1]   diffusion 57/200
00:33:35  [tt-quietbox:tt1]   diffusion 58/200
00:33:35  [tt-quietbox:tt1]   diffusion 59/200
00:33:36  [tt-quietbox:tt1]   diffusion 60/200
00:33:36  [tt-quietbox:tt1]   diffusion 61/200
00:33:37  [tt-quietbox:tt1]   diffusion 62/200
00:33:37  [tt-quietbox:tt1]   diffusion 63/200
00:33:37  [tt-quietbox:tt1]   diffusion 64/200
00:33:38  [tt-quietbox:tt1]   diffusion 65/200
00:33:38  [tt-quietbox:tt1]   diffusion 66/200
00:33:38  [tt-quietbox:tt1]   diffusion 67/200
00:33:39  [tt-quietbox:tt1]   diffusion 68/200
00:33:39  [tt-quietbox:tt1]   diffusion 69/200
00:33:39  [tt-quietbox:tt1]   diffusion 70/200
00:33:40  [tt-quietbox:tt1]   diffusion 71/200
00:33:40  [tt-quietbox:tt1]   diffusion 72/200
00:33:40  [tt-quietbox:tt1]   diffusion 73/200
00:33:41  [tt-quietbox:tt1]   diffusion 74/200
00:33:41  [tt-quietbox:tt1]   diffusion 75/200
00:33:41  [tt-quietbox:tt1]   diffusion 76/200
00:33:42  [tt-quietbox:tt1]   diffusion 77/200
00:33:42  [tt-quietbox:tt1]   diffusion 78/200
00:33:42  [tt-quietbox:tt1]   diffusion 79/200
00:33:43  [tt-quietbox:tt1]   diffusion 80/200
00:33:43  [tt-quietbox:tt1]   diffusion 81/200
00:33:43  [tt-quietbox:tt1]   diffusion 82/200
00:33:44  [tt-quietbox:tt1]   diffusion 83/200
00:33:44  [tt-quietbox:tt1]   diffusion 84/200
00:33:44  [tt-quietbox:tt1]   diffusion 85/200
00:33:45  [tt-quietbox:tt1]   diffusion 86/200
00:33:45  [tt-quietbox:tt1]   diffusion 87/200
00:33:46  [tt-quietbox:tt1]   diffusion 88/200
00:33:46  [tt-quietbox:tt1]   diffusion 89/200
00:33:46  [tt-quietbox:tt1]   diffusion 90/200
00:33:47  [tt-quietbox:tt1]   diffusion 91/200
00:33:47  [tt-quietbox:tt1]   diffusion 92/200
00:33:47  [tt-quietbox:tt1]   diffusion 93/200
00:33:48  [tt-quietbox:tt1]   diffusion 94/200
00:33:48  [tt-quietbox:tt1]   diffusion 95/200
00:33:48  [tt-quietbox:tt1]   diffusion 96/200
00:33:48  [tt-quietbox:tt1]   diffusion 97/200
00:33:49  [tt-quietbox:tt1]   diffusion 98/200
00:33:49  [tt-quietbox:tt1]   diffusion 99/200
00:33:49  [tt-quietbox:tt1]   diffusion 100/200
00:33:50  [tt-quietbox:tt1]   diffusion 101/200
00:33:51  [tt-quietbox:tt1]   diffusion 102/200
00:33:51  [tt-quietbox:tt1]   diffusion 103/200
00:33:51  [tt-quietbox:tt1]   diffusion 104/200
00:33:52  [tt-quietbox:tt1]   diffusion 105/200
00:33:52  [tt-quietbox:tt1]   diffusion 106/200
00:33:53  [tt-quietbox:tt1]   diffusion 107/200
