
======================================================================
[opendde-abag] docking 1ahw_abag.yaml (200 steps, 5 samples)
======================================================================
01:07:30  [tt-quietbox:tt1] loading model…
01:07:40  [tt-quietbox:tt1] 1ahw_abag
01:13:42  [tt-quietbox:tt1]   diffusion 171/200
01:13:42  [tt-quietbox:tt1]   diffusion 172/200
01:13:43  [tt-quietbox:tt1]   diffusion 173/200
01:13:43  [tt-quietbox:tt1]   diffusion 174/200
01:13:44  [tt-quietbox:tt1]   diffusion 175/200
01:13:44  [tt-quietbox:tt1]   diffusion 176/200
01:13:44  [tt-quietbox:tt1]   diffusion 177/200
01:13:44  [tt-quietbox:tt1]   diffusion 178/200
01:13:45  [tt-quietbox:tt1]   diffusion 179/200
01:13:45  [tt-quietbox:tt1]   diffusion 180/200
01:13:45  [tt-quietbox:tt1]   diffusion 181/200
01:13:46  [tt-quietbox:tt1]   diffusion 182/200
01:13:46  [tt-quietbox:tt1]   diffusion 183/200
01:13:46  [tt-quietbox:tt1]   diffusion 184/200
01:13:47  [tt-quietbox:tt1]   diffusion 185/200
01:13:47  [tt-quietbox:tt1]   diffusion 186/200
01:13:47  [tt-quietbox:tt1]   diffusion 187/200
01:13:48  [tt-quietbox:tt1]   diffusion 188/200
01:13:48  [tt-quietbox:tt1]   diffusion 189/200
01:13:48  [tt-quietbox:tt1]   diffusion 190/200
01:13:49  [tt-quietbox:tt1]   diffusion 191/200
01:13:49  [tt-quietbox:tt1]   diffusion 192/200
01:13:49  [tt-quietbox:tt1]   diffusion 193/200
01:13:50  [tt-quietbox:tt1]   diffusion 194/200
01:13:50  [tt-quietbox:tt1]   diffusion 195/200
01:13:50  [tt-quietbox:tt1]   diffusion 196/200
01:13:51  [tt-quietbox:tt1]   diffusion 197/200
01:13:51  [tt-quietbox:tt1]   diffusion 198/200
01:13:51  [tt-quietbox:tt1]   diffusion 199/200
01:14:19  [tt-quietbox:tt1]   saving
01:14:19  [tt-quietbox:tt1] ✓ 1ahw_abag — 399.6s

Done: 1 ok, 0 failed — /home/ttuser/.coworker/wt/perfwar-w6-c2fix-land/opendde_results_1ahw_abag/results.json

##############################################################################
RELEASE GATE — 1ahw_abag.yaml (opendde-abag), 200 steps / 5 samples, seed 0
##############################################################################
model            global DockQ  mean fnat     floor     wall  result
opendde-abag            0.829      0.922     >=0.5     418s  PASS
##############################################################################
GATE PASS — opendde-abag cleared parse + DockQ floor
