m32_p0	32	1.72811	0.45	1.10
m64_p0	64	1.810813	1.10	2.52
m64_p1	64	1.799716	2.52	2.40
m32_p1	32	1.727418	2.40	2.48
m32_p2	32	1.728389	2.48	2.25
m64_p2	64	1.799585	2.25	1.97
m64_p3	64	1.794788	1.97	1.82
m32_p3	32	1.731592	1.82	1.70
