off_0	1.45	3.76	5.26
on_0	1.243	5.26	5.70
on_1	1.231	5.70	4.53
off_1	1.5	4.53	3.93
off_2	1.508	3.93	2.93
on_2	1.234	2.93	2.27
on_3	1.213	2.27	1.84
off_3	1.504	1.84	1.90
