generator,threshold,N,metric,ranker,median_rank,rank_lo,rank_hi,metric_value,ci_lo,ci_hi
opendde-abag,0.8,5,gap_recovered,deeprank_ab,8.0,5.0,10.0,-0.031011646305714322,-0.13376644878300512,0.07047153916845367
opendde-abag,0.8,5,gap_recovered,abag_rank,9.0,6.0,10.0,-0.03832505198019333,-0.14344121337352136,0.07160024527236215
opendde-abag,0.8,5,ranked_success,iptm,7.0,4.0,10.0,0.2729572391304348,0.21077406832298137,0.3379200310559006
opendde-abag,0.8,5,ranked_success,ptm,4.0,1.0,7.0,0.2785800310559006,0.21496583850931678,0.344722049689441
opendde-abag,0.8,5,ranked_success,ranking_score,5.0,2.0,7.0,0.2777296211180124,0.21444021739130434,0.3433850931677018
opendde-abag,0.8,5,ranked_success,complex_plddt,1.0,1.0,6.0,0.2829530279503106,0.21878804347826084,0.34947360248447207
opendde-abag,0.8,5,ranked_success,pdockq2,3.0,1.0,6.0,0.28036998757763976,0.2166770186335404,0.34621428571428564
opendde-abag,0.8,5,ranked_success,ipsae,10.0,7.0,10.0,0.2639872763975155,0.20204736024844722,0.32767158385093165
opendde-abag,0.8,5,ranked_success,anticonf,2.0,1.0,5.0,0.28180326397515526,0.218166149068323,0.34782686335403723
opendde-abag,0.8,5,ranked_success,pss,5.0,1.0,8.0,0.27707246894409937,0.2115807453416149,0.3452189440993789
opendde-abag,0.8,5,ranked_success,deeprank_ab,8.0,5.0,10.0,0.2695872267080745,0.20701785714285714,0.33490760869565217
opendde-abag,0.8,5,ranked_success,abag_rank,9.0,6.0,10.0,0.26913942546583847,0.20499922360248443,0.33577717391304346
opendde-abag,0.8,50,gap_recovered,iptm,8.0,3.0,10.0,-0.09472809379728554,-0.3042849962302088,0.09654144676661368
opendde-abag,0.8,50,gap_recovered,ptm,1.0,1.0,4.5,0.13631961050112587,-0.016471928610715933,0.30748264930638297
opendde-abag,0.8,50,gap_recovered,ranking_score,4.0,1.0,8.0,0.021318350804521352,-0.15585222533887563,0.20046448923301108
opendde-abag,0.8,50,gap_recovered,complex_plddt,4.0,2.0,7.5,0.02258454380802149,-0.10336755379892901,0.15902210556328944
opendde-abag,0.8,50,gap_recovered,pdockq2,5.5,1.0,9.0,-0.020087624513616332,-0.23290335968470266,0.17598727298552563
opendde-abag,0.8,50,gap_recovered,ipsae,10.0,4.0,10.0,-0.1995645918332747,-0.4746123900737822,0.02543548070794762
opendde-abag,0.8,50,gap_recovered,anticonf,7.0,2.5,10.0,-0.058224983727881305,-0.27054812739175227,0.14059969846694534
opendde-abag,0.8,50,gap_recovered,pss,4.0,1.0,8.0,0.023159181421339287,-0.08992122625902259,0.14439175327077647
opendde-abag,0.8,50,gap_recovered,deeprank_ab,4.0,1.0,9.0,0.020596406928644728,-0.1677417399684827,0.20430695451357997
opendde-abag,0.8,50,gap_recovered,abag_rank,8.5,4.0,10.0,-0.13206124837471392,-0.28479872337150985,0.00528585791097719
opendde-abag,0.8,50,ranked_success,iptm,8.0,3.0,10.0,0.25538322981366457,0.19254658385093168,0.32298136645962733
opendde-abag,0.8,50,ranked_success,ptm,1.0,1.0,4.5,0.2928111801242236,0.2236024844720497,0.36645962732919257
opendde-abag,0.8,50,ranked_success,ranking_score,4.0,1.0,8.0,0.27416708074534163,0.20496894409937888,0.3416149068322981
opendde-abag,0.8,50,ranked_success,complex_plddt,4.0,2.0,7.5,0.2740639751552795,0.20496894409937888,0.3416149068322981
opendde-abag,0.8,50,ranked_success,pdockq2,5.5,1.0,9.0,0.2675968944099379,0.19875776397515527,0.33540372670807456
opendde-abag,0.8,50,ranked_success,ipsae,10.0,4.0,10.0,0.2388575341614907,0.17515527950310558,0.303416149068323
opendde-abag,0.8,50,ranked_success,anticonf,7.0,2.5,10.0,0.26140372670807455,0.19254658385093168,0.32919254658385094
opendde-abag,0.8,50,ranked_success,pss,4.0,1.0,8.0,0.27409316770186337,0.20496894409937888,0.3416149068322981
opendde-abag,0.8,50,ranked_success,deeprank_ab,4.0,1.0,9.0,0.27413105590062115,0.20496894409937888,0.34782608695652173
opendde-abag,0.8,50,ranked_success,abag_rank,8.5,4.0,10.0,0.2489944099378882,0.18633540372670807,0.3167701863354037
protenix-v2,0.23,5,gap_recovered,iptm,2.0,1.0,4.0,0.35233959357758704,0.17552682737677067,0.5224444164614521
protenix-v2,0.23,5,gap_recovered,ptm,7.0,6.0,8.0,0.20690172900815396,0.0464771123802716,0.36938379138237015
protenix-v2,0.23,5,gap_recovered,ranking_score,3.0,2.0,5.0,0.3475512352948216,0.17129603974650473,0.5186989889566943
protenix-v2,0.23,5,gap_recovered,complex_plddt,10.0,10.0,10.0,-0.3175509326896293,-0.4709711039364993,-0.15297748986010848
protenix-v2,0.23,5,gap_recovered,pdockq2,3.0,1.0,5.0,0.34535354728413703,0.20208355340706052,0.48256304826620733
protenix-v2,0.23,5,gap_recovered,ipsae,8.0,6.0,9.0,0.16038922676144435,0.009228142332174942,0.31382755958596287
protenix-v2,0.23,5,gap_recovered,anticonf,6.0,4.0,6.0,0.27071859765020323,0.10785047660138045,0.43161335900290265
protenix-v2,0.23,5,gap_recovered,pss,5.0,1.0,8.0,0.2834711495214285,0.11697024602823944,0.4473027154771718
protenix-v2,0.23,5,gap_recovered,deeprank_ab,1.0,1.0,6.0,0.38725382686581966,0.2483143305544155,0.5194190555564439
protenix-v2,0.23,5,gap_recovered,abag_rank,9.0,8.0,9.0,0.02764562093100024,-0.12125829841032473,0.1783304787538679
protenix-v2,0.23,5,ranked_success,iptm,2.0,1.0,4.0,0.4528550186335404,0.3800232919254658,0.5268330745341614
protenix-v2,0.23,5,ranked_success,ptm,7.0,6.0,8.0,0.4368277888198758,0.3655271739130435,0.5100326086956521
protenix-v2,0.23,5,ranked_success,ranking_score,3.0,2.0,5.0,0.4523274068322981,0.37916071428571435,0.526432453416149
protenix-v2,0.23,5,ranked_success,complex_plddt,10.0,10.0,10.0,0.3789730745341615,0.31108540372670807,0.4487018633540371
protenix-v2,0.23,5,ranked_success,pdockq2,3.0,1.0,5.0,0.45210798136645974,0.3813354037267081,0.5246288819875776
protenix-v2,0.23,5,ranked_success,ipsae,8.0,6.0,9.0,0.43171813664596276,0.36139518633540374,0.5034472049689441
protenix-v2,0.23,5,ranked_success,anticonf,6.0,4.0,6.0,0.4438830807453416,0.3715209627329193,0.5177034161490683
protenix-v2,0.23,5,ranked_success,pss,5.0,1.0,8.0,0.4452518291925466,0.372235248447205,0.519597049689441
protenix-v2,0.23,5,ranked_success,deeprank_ab,1.0,1.0,6.0,0.4566196614906832,0.38642701863354034,0.527641304347826
protenix-v2,0.23,5,ranked_success,abag_rank,9.0,8.0,9.0,0.4169510993788819,0.3466436335403727,0.48838509316770184
