generator,threshold,N,line,success,lo,hi
protenix-v2,0.23,4,random,0.4051863354037267,0.34053027950310555,0.4753152173913045
protenix-v2,0.23,8,random,0.4077639751552795,0.3424782608695651,0.47723602484472055
protenix-v2,0.23,16,random,0.40767080745341616,0.34176086956521734,0.47763664596273275
protenix-v2,0.23,32,random,0.40779503105590065,0.34307298136645975,0.4772127329192546
protenix-v2,0.23,50,random,0.4048757763975154,0.34043167701863364,0.47517391304347817
protenix-v2,0.23,1,ranked_deeprank,0.40599378881987586,0.3400613354037267,0.4753121118012423
protenix-v2,0.23,2,ranked_deeprank,0.42788819875776396,0.36168478260869574,0.49843245341614917
protenix-v2,0.23,4,ranked_deeprank,0.4446894409937888,0.37835248447204967,0.5166071428571427
protenix-v2,0.23,8,ranked_deeprank,0.45614906832298135,0.38832065217391315,0.5276389751552794
protenix-v2,0.23,16,ranked_deeprank,0.46642857142857136,0.39664596273291935,0.5395178571428573
protenix-v2,0.23,32,ranked_deeprank,0.47239130434782606,0.3994409937888201,0.5471498447204969
protenix-v2,0.23,50,ranked_deeprank,0.4782608695652174,0.40372670807453415,0.5590062111801242
protenix-v2,0.8,1,ranked,0.13096273291925462,0.08658850931677017,0.18024999999999997
protenix-v2,0.8,2,ranked,0.13074534161490683,0.08591381987577641,0.18016692546583846
protenix-v2,0.8,4,ranked,0.12968944099378885,0.08555900621118012,0.17913354037267085
protenix-v2,0.8,8,ranked,0.12934782608695655,0.08484006211180124,0.17889130434782607
protenix-v2,0.8,16,ranked,0.1286645962732919,0.084138198757764,0.1784860248447205
protenix-v2,0.8,32,ranked,0.12680124223602485,0.08102251552795031,0.1781141304347826
protenix-v2,0.8,50,ranked,0.12422360248447205,0.07453416149068323,0.18012422360248448
protenix-v2,0.8,1,oracle,0.13096273291925462,0.08658850931677017,0.18024999999999997
protenix-v2,0.8,2,oracle,0.1547204968944099,0.10387577639751554,0.2082321428571428
protenix-v2,0.8,4,oracle,0.1736335403726708,0.12161335403726707,0.22950931677018635
protenix-v2,0.8,8,oracle,0.19236024844720495,0.13806211180124223,0.2511785714285714
protenix-v2,0.8,16,oracle,0.21422360248447206,0.15730667701863357,0.2762313664596273
protenix-v2,0.8,32,oracle,0.23540372670807447,0.17411257763975152,0.30276785714285714
protenix-v2,0.8,50,oracle,0.2484472049689441,0.18012422360248448,0.31692546583850917
protenix-v2,0.8,1,random,0.13096273291925462,0.08658850931677017,0.18024999999999997
protenix-v2,0.8,2,random,0.13077639751552791,0.08577173913043477,0.1800054347826087
protenix-v2,0.8,4,random,0.13133540372670804,0.0867639751552795,0.1804976708074534
protenix-v2,0.8,8,random,0.12972049689440995,0.0854891304347826,0.1785465838509316
protenix-v2,0.8,16,random,0.1309316770186335,0.0849611801242236,0.18038276397515526
protenix-v2,0.8,32,random,0.12993788819875782,0.08531055900621118,0.17950931677018636
protenix-v2,0.8,50,random,0.1304347826086957,0.08615993788819874,0.17979347826086955
protenix-v2,0.8,1,ranked_deeprank,0.13096273291925462,0.08658850931677017,0.18024999999999997
protenix-v2,0.8,2,ranked_deeprank,0.13195652173913042,0.08704037267080746,0.18025621118012417
protenix-v2,0.8,4,ranked_deeprank,0.13248447204968947,0.08757142857142855,0.17994021739130436
protenix-v2,0.8,8,ranked_deeprank,0.13618012422360248,0.08920419254658388,0.18364518633540367
protenix-v2,0.8,16,ranked_deeprank,0.1354968944099379,0.08681599378881988,0.1835916149068323
protenix-v2,0.8,32,ranked_deeprank,0.13894409937888202,0.08757686335403726,0.190067546583851
protenix-v2,0.8,50,ranked_deeprank,0.14285714285714285,0.08695652173913043,0.19875776397515527
boltz2,0.23,1,ranked,0.2878260869565218,0.2249681677018634,0.3551979813664595
boltz2,0.23,2,ranked,0.2952484472049689,0.23220108695652178,0.3645170807453416
boltz2,0.23,4,ranked,0.29860248447204985,0.23486645962732916,0.36925776397515525
boltz2,0.23,8,ranked,0.2996273291925466,0.23459316770186342,0.3699479813664596
boltz2,0.23,16,ranked,0.29860248447204973,0.23248369565217392,0.37031521739130435
boltz2,0.23,32,ranked,0.29732919254658385,0.22824301242236023,0.3701948757763976
boltz2,0.23,50,ranked,0.2919254658385093,0.2234472049689441,0.366614906832298
boltz2,0.23,1,oracle,0.2878260869565218,0.2249681677018634,0.3551979813664595
boltz2,0.23,2,oracle,0.32329192546583846,0.2575256211180125,0.3925846273291926
boltz2,0.23,4,oracle,0.3632608695652174,0.2950605590062112,0.43314052795031055
boltz2,0.23,8,oracle,0.40310559006211183,0.33458074534161486,0.47639906832298123
boltz2,0.23,16,oracle,0.43900621118012406,0.3681180124223602,0.5138843167701863
boltz2,0.23,32,oracle,0.4722049689440993,0.3974798136645962,0.5472795031055899
boltz2,0.23,50,oracle,0.4968944099378882,0.422360248447205,0.5715838509316769
boltz2,0.23,1,random,0.2878260869565218,0.2249681677018634,0.3551979813664595
boltz2,0.23,2,random,0.2875465838509316,0.22496816770186334,0.35497204968944107
boltz2,0.23,4,random,0.28559006211180127,0.2245147515527951,0.35283307453416146
boltz2,0.23,8,random,0.2849378881987578,0.2220776397515528,0.35290372670807457
boltz2,0.23,16,random,0.2854968944099379,0.22397127329192543,0.35342701863354037
boltz2,0.23,32,random,0.2884472049689441,0.225248447204969,0.3559743788819874
boltz2,0.23,50,random,0.2856832298136647,0.2242437888198757,0.35296040372670817
boltz2,0.23,1,ranked_deeprank,0.2878260869565218,0.2249681677018634,0.3551979813664595
boltz2,0.23,2,ranked_deeprank,0.3010869565217391,0.2356172360248447,0.37134316770186326
boltz2,0.23,4,ranked_deeprank,0.3087577639751552,0.2426242236024845,0.37867313664596264
boltz2,0.23,8,ranked_deeprank,0.3156211180124223,0.24941770186335413,0.3838563664596273
boltz2,0.23,16,ranked_deeprank,0.31888198757763975,0.25127329192546577,0.3885077639751553
boltz2,0.23,32,ranked_deeprank,0.3240372670807454,0.2553718944099379,0.39655434782608695
boltz2,0.23,50,ranked_deeprank,0.32919254658385094,0.2546583850931677,0.40372670807453415
boltz2,0.8,1,ranked,0.10888198757763974,0.06881754658385093,0.15556754658385094
boltz2,0.8,2,ranked,0.11388198757763973,0.07394254658385092,0.16202018633540372
boltz2,0.8,4,ranked,0.11661490683229812,0.07611257763975154,0.16404580745341613
boltz2,0.8,8,ranked,0.11642857142857144,0.07447049689440993,0.16438431677018636
boltz2,0.8,16,ranked,0.11350931677018633,0.07235015527950309,0.16093944099378885
boltz2,0.8,32,ranked,0.10683229813664596,0.06592468944099379,0.15223291925465837
boltz2,0.8,50,ranked,0.09937888198757763,0.055900621118012424,0.14906832298136646
boltz2,0.8,1,oracle,0.10888198757763974,0.06881754658385093,0.15556754658385094
boltz2,0.8,2,oracle,0.1230745341614907,0.08060714285714286,0.17571816770186335
boltz2,0.8,4,oracle,0.1325465838509317,0.0867577639751553,0.18829270186335403
boltz2,0.8,8,oracle,0.13869565217391303,0.09102406832298138,0.19695807453416148
boltz2,0.8,16,oracle,0.14263975155279504,0.09341071428571428,0.20118012422360249
boltz2,0.8,32,oracle,0.14745341614906834,0.0977639751552795,0.2041304347826087
boltz2,0.8,50,oracle,0.14906832298136646,0.09937888198757763,0.20496894409937888
boltz2,0.8,1,random,0.10888198757763974,0.06881754658385093,0.15556754658385094
boltz2,0.8,2,random,0.10745341614906831,0.06714285714285714,0.1546607142857143
boltz2,0.8,4,random,0.10850931677018633,0.06874999999999999,0.15540372670807456
boltz2,0.8,8,random,0.10763975155279502,0.06794953416149067,0.1549145962732919
boltz2,0.8,16,random,0.10704968944099379,0.0667080745341615,0.1535093167701863
boltz2,0.8,32,random,0.10822981366459627,0.06883307453416149,0.15581133540372671
boltz2,0.8,50,random,0.10729813664596273,0.06714052795031054,0.15441304347826082
boltz2,0.8,1,ranked_deeprank,0.10888198757763974,0.06881754658385093,0.15556754658385094
boltz2,0.8,2,ranked_deeprank,0.1150310559006211,0.07369487577639751,0.16615295031055902
boltz2,0.8,4,ranked_deeprank,0.12099378881987576,0.07912810559006209,0.1728656832298137
boltz2,0.8,8,ranked_deeprank,0.12267080745341617,0.07974611801242236,0.1755636645962733
boltz2,0.8,16,ranked_deeprank,0.12456521739130437,0.08095263975155279,0.1775062111801242
boltz2,0.8,32,ranked_deeprank,0.1254037267080745,0.0803975155279503,0.1780830745341615
boltz2,0.8,50,ranked_deeprank,0.12422360248447205,0.07453416149068323,0.18012422360248448
