generator,ranker,per_target_mean,per_target_lo,per_target_hi,global_mean,global_lo,global_hi
opendde-abag,iptm,-0.002214223366529873,-0.058865984870214154,0.055633368119619976,,,
opendde-abag,ptm,0.03647773239589735,-0.021288473963522334,0.09541451262458925,,,
opendde-abag,ranking_score,0.022577865937680304,-0.03632446587271193,0.08102206683208231,0.7684710618742459,0.6949127311533825,0.8289244562072855
opendde-abag,complex_plddt,0.010404299983198655,-0.04615026907519952,0.06697605867500198,,,
opendde-abag,pdockq2,0.02060807828748818,-0.030012347900651853,0.07160488782396612,,,
opendde-abag,ipsae,-0.04024257181424236,-0.09796860222173544,0.015097389329081112,,,
opendde-abag,anticonf,0.032710663369512234,-0.020282314056892403,0.08746809695328889,,,
opendde-abag,pss,0.1532375055285272,0.09674892023731765,0.20735529075054407,,,
opendde-abag,deeprank_ab,0.034674341786403995,0.004684184232699291,0.0639022615257283,0.585463957993853,0.4826519877086474,0.6776028909953995
opendde-abag,abag_rank,3.392658353699291e-07,-0.04366383622562338,0.043644007019150555,0.5008593983669671,0.42876460038604647,0.5660501839044728
protenix-v2,iptm,0.13205167428263334,0.06748673226903074,0.19679111419494258,,,
protenix-v2,ptm,0.10654522850516301,0.04761452450562122,0.16501755482175925,,,
protenix-v2,ranking_score,0.13387137299620835,0.06963822280207724,0.19889799909211187,0.7278315302970416,0.6600907355361305,0.7840492573951462
protenix-v2,complex_plddt,-0.003647464643403351,-0.06261552108595853,0.05585329674027455,,,
protenix-v2,pdockq2,0.12675186711714675,0.06647083237264677,0.18884894767407534,,,
protenix-v2,ipsae,0.18442275216157647,0.11504790336024942,0.25255345523494177,,,
protenix-v2,anticonf,0.11033442131447063,0.051736021650961715,0.16965848630146918,,,
protenix-v2,pss,0.21743792253743602,0.15068227450131244,0.28352400779666703,,,
protenix-v2,deeprank_ab,0.1058847389887632,0.06351169536137437,0.14894811092138718,0.6242881417836109,0.5467564538149787,0.6905338988462202
protenix-v2,abag_rank,0.050612803214032324,0.0029365128613254962,0.09886361116527025,0.43259016124940364,0.3464490444556738,0.5106997262366862
boltz2,iptm,0.009237606606419778,-0.030378150676144973,0.0480425184895053,,,
boltz2,ptm,0.00416185147940118,-0.03492909480018529,0.04253456254757634,,,
boltz2,ranking_score,0.020611266865190003,-0.022050607326118587,0.06234123462262073,0.6217424650350182,0.5343143282160521,0.6977799499880287
boltz2,complex_plddt,0.0357447203817168,-0.017409157272907524,0.08822193878875514,,,
boltz2,pdockq2,0.03140549781286155,-0.012605017579444065,0.07677847662596572,,,
boltz2,ipsae,0.008425490117127189,-0.03210601100557995,0.04888596437806555,,,
boltz2,anticonf,0.02625460685737405,-0.0160642673955593,0.06884691937228626,,,
boltz2,pss,0.14463322170973653,0.07787929026518148,0.20953264423178178,,,
boltz2,deeprank_ab,0.07850782549044462,0.03885615861251333,0.11796236009931922,0.4926138370021946,0.39719499939933345,0.5841278954338122
boltz2,abag_rank,0.02469304609239175,-0.01159943156693946,0.06117730773216529,0.39287704704183996,0.3060378256348954,0.4745693800076194
