variant,generator,threshold,N,line,success,lo,hi
i,opendde-abag,0.23,1,ranked,0.6577329192546583,0.5874114906832298,0.7289231366459625
i,opendde-abag,0.23,2,ranked,0.6609937888198757,0.5891568322981368,0.7319728260869565
i,opendde-abag,0.23,4,ranked,0.6638819875776398,0.5910458074534162,0.7360900621118013
i,opendde-abag,0.23,8,ranked,0.6653416149068322,0.5912546583850932,0.738138198757764
i,opendde-abag,0.23,16,ranked,0.6653726708074534,0.5898975155279502,0.7377538819875776
i,opendde-abag,0.23,32,ranked,0.6658074534161491,0.5908074534161489,0.7386987577639752
i,opendde-abag,0.23,50,ranked,0.6645962732919255,0.5900621118012422,0.7391304347826086
i,opendde-abag,0.23,1,oracle,0.6577329192546583,0.5874114906832298,0.7289231366459625
i,opendde-abag,0.23,2,oracle,0.6692857142857143,0.5969844720496894,0.7398470496894411
i,opendde-abag,0.23,4,oracle,0.6856832298136645,0.6131498447204967,0.7547655279503104
i,opendde-abag,0.23,8,oracle,0.698975155279503,0.6275706521739132,0.7676715838509317
i,opendde-abag,0.23,16,oracle,0.7127018633540372,0.6425690993788821,0.779725155279503
i,opendde-abag,0.23,32,oracle,0.7276086956521738,0.6586226708074534,0.7936475155279502
i,opendde-abag,0.23,50,oracle,0.7391304347826086,0.6708074534161491,0.8074534161490683
i,opendde-abag,0.23,1,random,0.6577329192546583,0.5874114906832298,0.7289231366459625
i,opendde-abag,0.23,2,random,0.6571428571428569,0.5869386645962732,0.7278881987577637
i,opendde-abag,0.23,4,random,0.6569254658385093,0.5862919254658385,0.7273400621118012
i,opendde-abag,0.23,8,random,0.6581987577639752,0.5878486024844721,0.7291017080745341
i,opendde-abag,0.23,16,random,0.6579192546583851,0.5874658385093168,0.7289875776397515
i,opendde-abag,0.23,32,random,0.6570807453416149,0.5865186335403727,0.7283656832298138
i,opendde-abag,0.23,50,random,0.6575155279503103,0.586921583850932,0.7272833850931676
i,opendde-abag,0.8,1,ranked,0.2641304347826087,0.2001133540372671,0.32996195652173926
i,opendde-abag,0.8,2,ranked,0.2690683229813665,0.20373990683229812,0.33584782608695646
i,opendde-abag,0.8,4,ranked,0.2698447204968945,0.20486878881987575,0.3361226708074534
i,opendde-abag,0.8,8,ranked,0.2715527950310559,0.2073975155279503,0.33921273291925463
i,opendde-abag,0.8,16,ranked,0.2714906832298136,0.20856677018633538,0.3401925465838509
i,opendde-abag,0.8,32,ranked,0.27015527950310564,0.20719254658385092,0.340472049689441
i,opendde-abag,0.8,50,ranked,0.2670807453416149,0.19875776397515527,0.3416149068322981
i,opendde-abag,0.8,1,oracle,0.2641304347826087,0.2001133540372671,0.32996195652173926
i,opendde-abag,0.8,2,oracle,0.2908695652173914,0.22471273291925464,0.36192391304347815
i,opendde-abag,0.8,4,oracle,0.31518633540372687,0.2476653726708075,0.3897251552795032
i,opendde-abag,0.8,8,oracle,0.33770186335403735,0.2715458074534162,0.4131055900621117
i,opendde-abag,0.8,16,oracle,0.36857142857142855,0.29967779503105596,0.44714984472049685
i,opendde-abag,0.8,32,oracle,0.40372670807453415,0.3320675465838509,0.4813819875776399
i,opendde-abag,0.8,50,oracle,0.42857142857142855,0.34782608695652173,0.5093167701863354
i,opendde-abag,0.8,1,random,0.2641304347826087,0.2001133540372671,0.32996195652173926
i,opendde-abag,0.8,2,random,0.26447204968944105,0.20035481366459623,0.3309037267080746
i,opendde-abag,0.8,4,random,0.2638198757763974,0.19980434782608691,0.32969720496894395
i,opendde-abag,0.8,8,random,0.26245341614906825,0.19945419254658386,0.3278579192546583
i,opendde-abag,0.8,16,random,0.2628260869565217,0.19846661490683237,0.32835869565217396
i,opendde-abag,0.8,32,random,0.2644099378881987,0.20155900621118017,0.331
i,opendde-abag,0.8,50,random,0.2636645962732919,0.19965450310559013,0.3287577639751552
i,protenix-v2,0.23,1,ranked,0.40599378881987586,0.3400613354037267,0.4753121118012423
i,protenix-v2,0.23,2,ranked,0.4303726708074533,0.3634371118012424,0.5025822981366458
i,protenix-v2,0.23,4,ranked,0.44270186335403733,0.3739728260869566,0.5169239130434782
i,protenix-v2,0.23,8,ranked,0.4460869565217392,0.3762717391304349,0.5222585403726707
i,protenix-v2,0.23,16,ranked,0.44152173913043485,0.3707321428571429,0.516
i,protenix-v2,0.23,32,ranked,0.43987577639751557,0.3686746894409938,0.5198082298136647
i,protenix-v2,0.23,50,ranked,0.4409937888198758,0.36645962732919257,0.5217391304347826
i,protenix-v2,0.23,1,oracle,0.40599378881987586,0.3400613354037267,0.4753121118012423
i,protenix-v2,0.23,2,oracle,0.4565527950310559,0.3914277950310559,0.5261622670807452
i,protenix-v2,0.23,4,oracle,0.5023602484472051,0.434722049689441,0.5715877329192548
i,protenix-v2,0.23,8,oracle,0.5453416149068323,0.4750698757763975,0.6158835403726708
i,protenix-v2,0.23,16,oracle,0.5855279503105589,0.5154316770186335,0.6578913043478261
i,protenix-v2,0.23,32,oracle,0.6226397515527952,0.5500240683229812,0.6979355590062113
i,protenix-v2,0.23,50,oracle,0.6459627329192547,0.5714285714285714,0.7204968944099379
i,protenix-v2,0.23,1,random,0.40599378881987586,0.3400613354037267,0.4753121118012423
i,protenix-v2,0.23,2,random,0.4065217391304348,0.3424790372670808,0.47649223602484475
i,protenix-v2,0.23,4,random,0.4051863354037267,0.34053027950310555,0.4753152173913045
i,protenix-v2,0.23,8,random,0.4077639751552795,0.3424782608695651,0.47723602484472055
i,protenix-v2,0.23,16,random,0.40767080745341616,0.34176086956521734,0.47763664596273275
