00:28:31  [tt-quietbox:tt1]   diffusion 76/200
00:28:31  [tt-quietbox:tt1]   diffusion 77/200
00:28:32  [tt-quietbox:tt1]   diffusion 78/200
00:28:32  [tt-quietbox:tt1]   diffusion 79/200
00:28:33  [tt-quietbox:tt1]   diffusion 80/200
00:28:33  [tt-quietbox:tt1]   diffusion 81/200
00:28:33  [tt-quietbox:tt1]   diffusion 82/200
00:28:34  [tt-quietbox:tt1]   diffusion 83/200
00:28:34  [tt-quietbox:tt1]   diffusion 84/200
00:28:34  [tt-quietbox:tt1]   diffusion 85/200
00:28:35  [tt-quietbox:tt1]   diffusion 86/200
00:28:35  [tt-quietbox:tt1]   diffusion 87/200
00:28:36  [tt-quietbox:tt1]   diffusion 88/200
00:28:36  [tt-quietbox:tt1]   diffusion 89/200
00:28:36  [tt-quietbox:tt1]   diffusion 90/200
00:28:37  [tt-quietbox:tt1]   diffusion 91/200
00:28:37  [tt-quietbox:tt1]   diffusion 92/200
00:28:37  [tt-quietbox:tt1]   diffusion 93/200
00:28:38  [tt-quietbox:tt1]   diffusion 94/200
00:28:38  [tt-quietbox:tt1]   diffusion 95/200
00:28:39  [tt-quietbox:tt1]   diffusion 96/200
00:28:39  [tt-quietbox:tt1]   diffusion 97/200
00:28:39  [tt-quietbox:tt1]   diffusion 98/200
00:28:40  [tt-quietbox:tt1]   diffusion 99/200
00:28:40  [tt-quietbox:tt1]   diffusion 100/200
00:28:41  [tt-quietbox:tt1]   diffusion 101/200
00:28:41  [tt-quietbox:tt1]   diffusion 102/200
00:28:41  [tt-quietbox:tt1]   diffusion 103/200
00:28:42  [tt-quietbox:tt1]   diffusion 104/200
00:28:42  [tt-quietbox:tt1]   diffusion 105/200
00:28:43  [tt-quietbox:tt1]   diffusion 106/200
00:28:43  [tt-quietbox:tt1]   diffusion 107/200
00:28:43  [tt-quietbox:tt1]   diffusion 108/200
00:28:44  [tt-quietbox:tt1]   diffusion 109/200
00:28:44  [tt-quietbox:tt1]   diffusion 110/200
00:28:45  [tt-quietbox:tt1]   diffusion 111/200
00:28:45  [tt-quietbox:tt1]   diffusion 112/200
00:28:45  [tt-quietbox:tt1]   diffusion 113/200
00:28:46  [tt-quietbox:tt1]   diffusion 114/200
00:28:46  [tt-quietbox:tt1]   diffusion 115/200
00:28:47  [tt-quietbox:tt1]   diffusion 116/200
00:28:47  [tt-quietbox:tt1]   diffusion 117/200
00:28:47  [tt-quietbox:tt1]   diffusion 118/200
00:28:48  [tt-quietbox:tt1]   diffusion 119/200
00:28:48  [tt-quietbox:tt1]   diffusion 120/200
00:28:48  [tt-quietbox:tt1]   diffusion 121/200
00:28:49  [tt-quietbox:tt1]   diffusion 122/200
00:28:49  [tt-quietbox:tt1]   diffusion 123/200
00:28:50  [tt-quietbox:tt1]   diffusion 124/200
00:28:50  [tt-quietbox:tt1]   diffusion 125/200
00:28:50  [tt-quietbox:tt1]   diffusion 126/200
00:28:51  [tt-quietbox:tt1]   diffusion 127/200
00:28:51  [tt-quietbox:tt1]   diffusion 128/200
00:28:51  [tt-quietbox:tt1]   diffusion 129/200
00:28:52  [tt-quietbox:tt1]   diffusion 130/200
00:28:52  [tt-quietbox:tt1]   diffusion 131/200
00:28:53  [tt-quietbox:tt1]   diffusion 132/200
00:28:53  [tt-quietbox:tt1]   diffusion 133/200
00:28:54  [tt-quietbox:tt1]   diffusion 134/200
00:28:54  [tt-quietbox:tt1]   diffusion 135/200
00:28:54  [tt-quietbox:tt1]   diffusion 136/200
00:28:55  [tt-quietbox:tt1]   diffusion 137/200
00:28:55  [tt-quietbox:tt1]   diffusion 138/200
00:28:55  [tt-quietbox:tt1]   diffusion 139/200
00:28:56  [tt-quietbox:tt1]   diffusion 140/200
00:28:56  [tt-quietbox:tt1]   diffusion 141/200
00:28:57  [tt-quietbox:tt1]   diffusion 142/200
00:28:57  [tt-quietbox:tt1]   diffusion 143/200
00:28:57  [tt-quietbox:tt1]   diffusion 144/200
00:28:58  [tt-quietbox:tt1]   diffusion 145/200
00:28:58  [tt-quietbox:tt1]   diffusion 146/200
00:28:59  [tt-quietbox:tt1]   diffusion 147/200
00:28:59  [tt-quietbox:tt1]   diffusion 148/200
00:28:59  [tt-quietbox:tt1]   diffusion 149/200
00:29:00  [tt-quietbox:tt1]   diffusion 150/200
00:29:00  [tt-quietbox:tt1]   diffusion 151/200
00:29:00  [tt-quietbox:tt1]   diffusion 152/200
00:29:01  [tt-quietbox:tt1]   diffusion 153/200
00:29:01  [tt-quietbox:tt1]   diffusion 154/200
00:29:02  [tt-quietbox:tt1]   diffusion 155/200
00:29:02  [tt-quietbox:tt1]   diffusion 156/200
00:29:02  [tt-quietbox:tt1]   diffusion 157/200
00:29:03  [tt-quietbox:tt1]   diffusion 158/200
00:29:03  [tt-quietbox:tt1]   diffusion 159/200
00:29:04  [tt-quietbox:tt1]   diffusion 160/200
00:29:04  [tt-quietbox:tt1]   diffusion 161/200
00:29:04  [tt-quietbox:tt1]   diffusion 162/200
00:29:05  [tt-quietbox:tt1]   diffusion 163/200
00:29:05  [tt-quietbox:tt1]   diffusion 164/200
00:29:05  [tt-quietbox:tt1]   diffusion 165/200
00:29:06  [tt-quietbox:tt1]   diffusion 166/200
00:29:06  [tt-quietbox:tt1]   diffusion 167/200
00:29:07  [tt-quietbox:tt1]   diffusion 168/200
00:29:07  [tt-quietbox:tt1]   diffusion 169/200
00:29:08  [tt-quietbox:tt1]   diffusion 170/200
00:29:08  [tt-quietbox:tt1]   diffusion 171/200
00:29:08  [tt-quietbox:tt1]   diffusion 172/200
00:29:09  [tt-quietbox:tt1]   diffusion 173/200
00:29:09  [tt-quietbox:tt1]   diffusion 174/200
00:29:10  [tt-quietbox:tt1]   diffusion 175/200
00:29:10  [tt-quietbox:tt1]   diffusion 176/200
00:29:11  [tt-quietbox:tt1]   diffusion 177/200
00:29:11  [tt-quietbox:tt1]   diffusion 178/200
00:29:11  [tt-quietbox:tt1]   diffusion 179/200
00:29:12  [tt-quietbox:tt1]   diffusion 180/200
00:29:12  [tt-quietbox:tt1]   diffusion 181/200
00:29:13  [tt-quietbox:tt1]   diffusion 182/200
00:29:13  [tt-quietbox:tt1]   diffusion 183/200
00:29:13  [tt-quietbox:tt1]   diffusion 184/200
00:29:14  [tt-quietbox:tt1]   diffusion 185/200
00:29:14  [tt-quietbox:tt1]   diffusion 186/200
00:29:14  [tt-quietbox:tt1]   diffusion 187/200
00:29:15  [tt-quietbox:tt1]   diffusion 188/200
00:29:15  [tt-quietbox:tt1]   diffusion 189/200
00:29:16  [tt-quietbox:tt1]   diffusion 190/200
00:29:16  [tt-quietbox:tt1]   diffusion 191/200
00:29:16  [tt-quietbox:tt1]   diffusion 192/200
00:29:17  [tt-quietbox:tt1]   diffusion 193/200
00:29:17  [tt-quietbox:tt1]   diffusion 194/200
00:29:18  [tt-quietbox:tt1]   diffusion 195/200
00:29:18  [tt-quietbox:tt1]   diffusion 196/200
00:29:18  [tt-quietbox:tt1]   diffusion 197/200
00:29:19  [tt-quietbox:tt1]   diffusion 198/200
00:29:19  [tt-quietbox:tt1]   diffusion 199/200
00:29:20  [tt-quietbox:tt1]   confidence
00:29:43  [tt-quietbox:tt1]   saving
00:29:43  [tt-quietbox:tt1] ✓ 01_b78_tok658_bk672 — 259.6s
00:29:43  [tt-quietbox:tt1] 02_b108_tok688_bk704
00:29:43  [tt-quietbox:tt1]   prep
00:30:08  [tt-quietbox:tt1]   trunk 0/10
00:30:28  [tt-quietbox:tt1]   trunk 1/10
00:30:35  [tt-quietbox:tt1]   trunk 2/10
00:30:43  [tt-quietbox:tt1]   trunk 3/10
00:30:50  [tt-quietbox:tt1]   trunk 4/10
00:30:58  [tt-quietbox:tt1]   trunk 5/10
00:31:06  [tt-quietbox:tt1]   trunk 6/10
00:31:13  [tt-quietbox:tt1]   trunk 7/10
00:31:21  [tt-quietbox:tt1]   trunk 8/10
00:31:28  [tt-quietbox:tt1]   trunk 9/10
00:31:45  [tt-quietbox:tt1]   diffusion 0/200
00:32:06  [tt-quietbox:tt1]   diffusion 1/200
00:32:07  [tt-quietbox:tt1]   diffusion 2/200
00:32:07  [tt-quietbox:tt1]   diffusion 3/200
00:32:08  [tt-quietbox:tt1]   diffusion 4/200
00:32:08  [tt-quietbox:tt1]   diffusion 5/200
00:32:08  [tt-quietbox:tt1]   diffusion 6/200
00:32:09  [tt-quietbox:tt1]   diffusion 7/200
00:32:09  [tt-quietbox:tt1]   diffusion 8/200
00:32:10  [tt-quietbox:tt1]   diffusion 9/200
00:32:10  [tt-quietbox:tt1]   diffusion 10/200
00:32:11  [tt-quietbox:tt1]   diffusion 11/200
00:32:11  [tt-quietbox:tt1]   diffusion 12/200
00:32:12  [tt-quietbox:tt1]   diffusion 13/200
00:32:12  [tt-quietbox:tt1]   diffusion 14/200
00:32:12  [tt-quietbox:tt1]   diffusion 15/200
00:32:13  [tt-quietbox:tt1]   diffusion 16/200
00:32:13  [tt-quietbox:tt1]   diffusion 17/200
00:32:14  [tt-quietbox:tt1]   diffusion 18/200
00:32:14  [tt-quietbox:tt1]   diffusion 19/200
00:32:15  [tt-quietbox:tt1]   diffusion 20/200
00:32:15  [tt-quietbox:tt1]   diffusion 21/200
00:32:15  [tt-quietbox:tt1]   diffusion 22/200
00:32:16  [tt-quietbox:tt1]   diffusion 23/200
00:32:16  [tt-quietbox:tt1]   diffusion 24/200
00:32:17  [tt-quietbox:tt1]   diffusion 25/200
00:32:17  [tt-quietbox:tt1]   diffusion 26/200
00:32:17  [tt-quietbox:tt1]   diffusion 27/200
00:32:18  [tt-quietbox:tt1]   diffusion 28/200
00:32:18  [tt-quietbox:tt1]   diffusion 29/200
00:32:19  [tt-quietbox:tt1]   diffusion 30/200
00:32:19  [tt-quietbox:tt1]   diffusion 31/200
00:32:20  [tt-quietbox:tt1]   diffusion 32/200
00:32:20  [tt-quietbox:tt1]   diffusion 33/200
00:32:20  [tt-quietbox:tt1]   diffusion 34/200
00:32:21  [tt-quietbox:tt1]   diffusion 35/200
00:32:21  [tt-quietbox:tt1]   diffusion 36/200
00:32:22  [tt-quietbox:tt1]   diffusion 37/200
00:32:22  [tt-quietbox:tt1]   diffusion 38/200
00:32:23  [tt-quietbox:tt1]   diffusion 39/200
00:32:23  [tt-quietbox:tt1]   diffusion 40/200
00:32:23  [tt-quietbox:tt1]   diffusion 41/200
00:32:24  [tt-quietbox:tt1]   diffusion 42/200
00:32:24  [tt-quietbox:tt1]   diffusion 43/200
00:32:25  [tt-quietbox:tt1]   diffusion 44/200
00:32:25  [tt-quietbox:tt1]   diffusion 45/200
00:32:26  [tt-quietbox:tt1]   diffusion 46/200
00:32:26  [tt-quietbox:tt1]   diffusion 47/200
00:32:26  [tt-quietbox:tt1]   diffusion 48/200
00:32:27  [tt-quietbox:tt1]   diffusion 49/200
00:32:27  [tt-quietbox:tt1]   diffusion 50/200
00:32:28  [tt-quietbox:tt1]   diffusion 51/200
00:32:28  [tt-quietbox:tt1]   diffusion 52/200
00:32:29  [tt-quietbox:tt1]   diffusion 53/200
00:32:29  [tt-quietbox:tt1]   diffusion 54/200
00:32:29  [tt-quietbox:tt1]   diffusion 55/200
00:32:30  [tt-quietbox:tt1]   diffusion 56/200
00:32:30  [tt-quietbox:tt1]   diffusion 57/200
00:32:31  [tt-quietbox:tt1]   diffusion 58/200
00:32:31  [tt-quietbox:tt1]   diffusion 59/200
00:32:32  [tt-quietbox:tt1]   diffusion 60/200
00:32:32  [tt-quietbox:tt1]   diffusion 61/200
00:32:32  [tt-quietbox:tt1]   diffusion 62/200
00:32:33  [tt-quietbox:tt1]   diffusion 63/200
00:32:33  [tt-quietbox:tt1]   diffusion 64/200
00:32:34  [tt-quietbox:tt1]   diffusion 65/200
00:32:34  [tt-quietbox:tt1]   diffusion 66/200
00:32:35  [tt-quietbox:tt1]   diffusion 67/200
00:32:35  [tt-quietbox:tt1]   diffusion 68/200
00:32:35  [tt-quietbox:tt1]   diffusion 69/200
00:32:36  [tt-quietbox:tt1]   diffusion 70/200
00:32:36  [tt-quietbox:tt1]   diffusion 71/200
00:32:37  [tt-quietbox:tt1]   diffusion 72/200
00:32:37  [tt-quietbox:tt1]   diffusion 73/200
00:32:38  [tt-quietbox:tt1]   diffusion 74/200
00:32:38  [tt-quietbox:tt1]   diffusion 75/200
00:32:38  [tt-quietbox:tt1]   diffusion 76/200
00:32:39  [tt-quietbox:tt1]   diffusion 77/200
00:32:39  [tt-quietbox:tt1]   diffusion 78/200
00:32:40  [tt-quietbox:tt1]   diffusion 79/200
00:32:40  [tt-quietbox:tt1]   diffusion 80/200
00:32:41  [tt-quietbox:tt1]   diffusion 81/200
00:32:41  [tt-quietbox:tt1]   diffusion 82/200
00:32:41  [tt-quietbox:tt1]   diffusion 83/200
00:32:42  [tt-quietbox:tt1]   diffusion 84/200
00:32:42  [tt-quietbox:tt1]   diffusion 85/200
00:32:43  [tt-quietbox:tt1]   diffusion 86/200
00:32:43  [tt-quietbox:tt1]   diffusion 87/200
00:32:43  [tt-quietbox:tt1]   diffusion 88/200
00:32:44  [tt-quietbox:tt1]   diffusion 89/200
00:32:44  [tt-quietbox:tt1]   diffusion 90/200
00:32:45  [tt-quietbox:tt1]   diffusion 91/200
00:32:45  [tt-quietbox:tt1]   diffusion 92/200
00:32:46  [tt-quietbox:tt1]   diffusion 93/200
00:32:46  [tt-quietbox:tt1]   diffusion 94/200
00:32:46  [tt-quietbox:tt1]   diffusion 95/200
00:32:47  [tt-quietbox:tt1]   diffusion 96/200
00:32:47  [tt-quietbox:tt1]   diffusion 97/200
00:32:48  [tt-quietbox:tt1]   diffusion 98/200
00:32:48  [tt-quietbox:tt1]   diffusion 99/200
00:32:49  [tt-quietbox:tt1]   diffusion 100/200
00:32:49  [tt-quietbox:tt1]   diffusion 101/200
00:32:49  [tt-quietbox:tt1]   diffusion 102/200
00:32:50  [tt-quietbox:tt1]   diffusion 103/200
00:32:50  [tt-quietbox:tt1]   diffusion 104/200
00:32:51  [tt-quietbox:tt1]   diffusion 105/200
00:32:51  [tt-quietbox:tt1]   diffusion 106/200
00:32:52  [tt-quietbox:tt1]   diffusion 107/200
00:32:52  [tt-quietbox:tt1]   diffusion 108/200
00:32:52  [tt-quietbox:tt1]   diffusion 109/200
00:32:53  [tt-quietbox:tt1]   diffusion 110/200
00:32:53  [tt-quietbox:tt1]   diffusion 111/200
00:32:54  [tt-quietbox:tt1]   diffusion 112/200
00:32:54  [tt-quietbox:tt1]   diffusion 113/200
00:32:55  [tt-quietbox:tt1]   diffusion 114/200
00:32:55  [tt-quietbox:tt1]   diffusion 115/200
00:32:56  [tt-quietbox:tt1]   diffusion 116/200
00:32:56  [tt-quietbox:tt1]   diffusion 117/200
00:32:56  [tt-quietbox:tt1]   diffusion 118/200
00:32:57  [tt-quietbox:tt1]   diffusion 119/200
00:32:57  [tt-quietbox:tt1]   diffusion 120/200
00:32:58  [tt-quietbox:tt1]   diffusion 121/200
00:32:58  [tt-quietbox:tt1]   diffusion 122/200
00:32:59  [tt-quietbox:tt1]   diffusion 123/200
00:32:59  [tt-quietbox:tt1]   diffusion 124/200
