13:50:46  [pc:tt0]   diffusion 121/200
13:50:46  [pc:tt0]   diffusion 122/200
13:50:46  [pc:tt0]   diffusion 123/200
13:50:47  [pc:tt0]   diffusion 124/200
13:50:47  [pc:tt0]   diffusion 125/200
13:50:47  [pc:tt0]   diffusion 126/200
13:50:47  [pc:tt0]   diffusion 127/200
13:50:48  [pc:tt0]   diffusion 128/200
13:50:48  [pc:tt0]   diffusion 129/200
13:50:48  [pc:tt0]   diffusion 130/200
13:50:49  [pc:tt0]   diffusion 131/200
13:50:49  [pc:tt0]   diffusion 132/200
13:50:50  [pc:tt0]   diffusion 133/200
13:50:50  [pc:tt0]   diffusion 134/200
13:50:50  [pc:tt0]   diffusion 135/200
13:50:50  [pc:tt0]   diffusion 136/200
13:50:51  [pc:tt0]   diffusion 137/200
13:50:51  [pc:tt0]   diffusion 138/200
13:50:51  [pc:tt0]   diffusion 139/200
13:50:52  [pc:tt0]   diffusion 140/200
13:50:52  [pc:tt0]   diffusion 141/200
13:50:53  [pc:tt0]   diffusion 142/200
13:50:53  [pc:tt0]   diffusion 143/200
13:50:53  [pc:tt0]   diffusion 144/200
13:50:54  [pc:tt0]   diffusion 145/200
13:50:54  [pc:tt0]   diffusion 146/200
13:50:54  [pc:tt0]   diffusion 147/200
13:50:55  [pc:tt0]   diffusion 148/200
13:50:55  [pc:tt0]   diffusion 149/200
13:50:55  [pc:tt0]   diffusion 150/200
13:50:55  [pc:tt0]   diffusion 151/200
13:50:56  [pc:tt0]   diffusion 152/200
13:50:56  [pc:tt0]   diffusion 153/200
13:50:56  [pc:tt0]   diffusion 154/200
13:50:57  [pc:tt0]   diffusion 155/200
13:50:57  [pc:tt0]   diffusion 156/200
13:50:57  [pc:tt0]   diffusion 157/200
13:50:57  [pc:tt0]   diffusion 158/200
13:50:58  [pc:tt0]   diffusion 159/200
13:50:58  [pc:tt0]   diffusion 160/200
13:50:58  [pc:tt0]   diffusion 161/200
13:50:59  [pc:tt0]   diffusion 162/200
13:51:00  [pc:tt0]   diffusion 163/200
13:51:00  [pc:tt0]   diffusion 164/200
13:51:00  [pc:tt0]   diffusion 165/200
13:51:01  [pc:tt0]   diffusion 166/200
13:51:01  [pc:tt0]   diffusion 167/200
13:51:01  [pc:tt0]   diffusion 168/200
13:51:02  [pc:tt0]   diffusion 169/200
13:51:02  [pc:tt0]   diffusion 170/200
13:51:02  [pc:tt0]   diffusion 171/200
13:51:02  [pc:tt0]   diffusion 172/200
13:51:03  [pc:tt0]   diffusion 173/200
13:51:03  [pc:tt0]   diffusion 174/200
13:51:03  [pc:tt0]   diffusion 175/200
13:51:04  [pc:tt0]   diffusion 176/200
13:51:04  [pc:tt0]   diffusion 177/200
13:51:04  [pc:tt0]   diffusion 178/200
13:51:05  [pc:tt0]   diffusion 179/200
13:51:05  [pc:tt0]   diffusion 180/200
13:51:05  [pc:tt0]   diffusion 181/200
13:51:05  [pc:tt0]   diffusion 182/200
