[release-gate] granted card(s) [3]
[release-gate] scoring tt_bio from /home/ttuser/.coworker/wt/land-standing/tt_bio (commit 064e5ad5a)

======================================================================
[esmfold2-fast] folding prot.yaml (200 steps, 5 samples)
======================================================================
05:15:22  [tt-quietbox2:tt3] loading model…
05:15:50  [tt-quietbox2:tt3] prot
05:16:02  [tt-quietbox2:tt3]   diffusion 18/134
05:16:02  [tt-quietbox2:tt3]   diffusion 19/134
05:16:02  [tt-quietbox2:tt3]   diffusion 20/134
05:16:02  [tt-quietbox2:tt3]   diffusion 21/134
05:16:03  [tt-quietbox2:tt3]   diffusion 22/134
05:16:03  [tt-quietbox2:tt3]   diffusion 23/134
05:16:03  [tt-quietbox2:tt3]   diffusion 24/134
05:16:03  [tt-quietbox2:tt3]   diffusion 25/134
05:16:03  [tt-quietbox2:tt3]   diffusion 26/134
05:16:03  [tt-quietbox2:tt3]   diffusion 27/134
05:16:03  [tt-quietbox2:tt3]   diffusion 28/134
05:16:03  [tt-quietbox2:tt3]   diffusion 29/134
05:16:03  [tt-quietbox2:tt3]   diffusion 30/134
05:16:03  [tt-quietbox2:tt3]   diffusion 31/134
05:16:03  [tt-quietbox2:tt3]   diffusion 32/134
05:16:03  [tt-quietbox2:tt3]   diffusion 33/134
05:16:04  [tt-quietbox2:tt3]   diffusion 34/134
05:16:04  [tt-quietbox2:tt3]   diffusion 35/134
05:16:04  [tt-quietbox2:tt3]   diffusion 36/134
05:16:04  [tt-quietbox2:tt3]   diffusion 37/134
05:16:04  [tt-quietbox2:tt3]   diffusion 38/134
05:16:04  [tt-quietbox2:tt3]   diffusion 39/134
05:16:04  [tt-quietbox2:tt3]   diffusion 40/134
05:16:04  [tt-quietbox2:tt3]   diffusion 41/134
05:16:04  [tt-quietbox2:tt3]   diffusion 42/134
05:16:04  [tt-quietbox2:tt3]   diffusion 43/134
05:16:04  [tt-quietbox2:tt3]   diffusion 44/134
05:16:04  [tt-quietbox2:tt3]   diffusion 45/134
05:16:04  [tt-quietbox2:tt3]   diffusion 46/134
05:16:05  [tt-quietbox2:tt3]   diffusion 47/134
05:16:05  [tt-quietbox2:tt3]   diffusion 48/134
05:16:05  [tt-quietbox2:tt3]   diffusion 49/134
05:16:05  [tt-quietbox2:tt3]   diffusion 50/134
05:16:05  [tt-quietbox2:tt3]   diffusion 51/134
05:16:06  [tt-quietbox2:tt3]   diffusion 52/134
05:16:06  [tt-quietbox2:tt3]   diffusion 53/134
05:16:06  [tt-quietbox2:tt3]   diffusion 54/134
05:16:06  [tt-quietbox2:tt3]   diffusion 55/134
05:16:06  [tt-quietbox2:tt3]   diffusion 56/134
05:16:06  [tt-quietbox2:tt3]   diffusion 57/134
05:16:06  [tt-quietbox2:tt3]   diffusion 58/134
05:16:06  [tt-quietbox2:tt3]   diffusion 59/134
05:16:06  [tt-quietbox2:tt3]   diffusion 60/134
05:16:06  [tt-quietbox2:tt3]   diffusion 61/134
05:16:06  [tt-quietbox2:tt3]   diffusion 62/134
05:16:06  [tt-quietbox2:tt3]   diffusion 63/134
05:16:07  [tt-quietbox2:tt3]   diffusion 64/134
05:16:07  [tt-quietbox2:tt3]   diffusion 65/134
