2026-09-14T13:18:55Z	1.65 2.00 2.72	2
2026-09-14T13:19:10Z	2.76 2.22 2.79	4
2026-09-14T13:19:25Z	3.15 2.33 2.81	4
2026-09-14T13:19:40Z	2.90 2.31 2.80	4
2026-09-14T13:19:55Z	2.70 2.30 2.79	4
2026-09-14T13:20:10Z	2.54 2.28 2.77	4
2026-09-14T13:20:25Z	2.90 2.38 2.80	4
2026-09-14T13:20:40Z	3.65 2.59 2.86	4
2026-09-14T13:20:55Z	3.80 2.67 2.88	4
2026-09-14T13:21:10Z	3.47 2.65 2.87	4
2026-09-14T13:21:25Z	3.14 2.62 2.86	4
2026-09-14T13:21:40Z	2.89 2.59 2.84	4
2026-09-14T13:21:55Z	2.69 2.56 2.83	4
2026-09-14T13:22:10Z	2.54 2.53 2.81	4
2026-09-14T13:22:25Z	2.42 2.51 2.80	4
2026-09-14T13:22:40Z	2.10 2.43 2.77	2
2026-09-14T13:22:55Z	1.86 2.36 2.74	2
2026-09-14T13:23:10Z	1.75 2.31 2.72	2
2026-09-14T13:23:25Z	2.32 2.41 2.75	2
2026-09-14T13:23:40Z	2.03 2.34 2.72	2
2026-09-14T13:23:55Z	1.80 2.27 2.69	2
2026-09-14T13:24:10Z	1.62 2.21 2.66	2
2026-09-14T13:24:26Z	2.03 2.28 2.68	2
2026-09-14T13:24:41Z	1.80 2.21 2.65	2
2026-09-14T13:24:56Z	1.62 2.15 2.62	2
2026-09-14T13:25:11Z	1.48 2.10 2.60	2
2026-09-14T13:25:26Z	1.37 2.04 2.57	2
2026-09-14T13:25:41Z	1.29 1.99 2.54	2
2026-09-14T13:25:56Z	1.23 1.94 2.52	2
2026-09-14T13:26:11Z	1.74 2.01 2.53	2
2026-09-14T13:26:26Z	2.05 2.07 2.54	2
2026-09-14T13:26:41Z	1.95 2.05 2.53	2
2026-09-14T13:26:56Z	1.74 2.00 2.50	2
2026-09-14T13:27:11Z	2.05 2.06 2.52	2
2026-09-14T13:27:26Z	2.38 2.13 2.53	2
2026-09-14T13:27:41Z	2.07 2.07 2.51	2
2026-09-14T13:27:56Z	1.83 2.02 2.48	2
2026-09-14T13:28:11Z	1.65 1.97 2.46	2
2026-09-14T13:28:26Z	1.50 1.92 2.43	2
2026-09-14T13:28:41Z	1.39 1.87 2.41	2
2026-09-14T13:28:56Z	1.87 1.95 2.42	2
2026-09-14T13:29:11Z	2.15 2.01 2.44	2
2026-09-14T13:29:26Z	1.89 1.96 2.41	2
2026-09-14T13:29:41Z	1.77 1.93 2.40	2
2026-09-14T13:29:56Z	1.60 1.88 2.37	2
2026-09-14T13:30:11Z	1.47 1.84 2.35	2
2026-09-14T13:30:26Z	1.36 1.80 2.33	2
2026-09-14T13:30:41Z	1.28 1.76 2.31	2
2026-09-14T13:30:56Z	1.22 1.72 2.28	2
2026-09-14T13:31:11Z	1.17 1.68 2.26	2
2026-09-14T13:31:26Z	1.13 1.65 2.24	2
2026-09-14T13:31:41Z	1.10 1.62 2.22	2
2026-09-14T13:31:56Z	1.16 1.60 2.21	4
2026-09-14T13:32:11Z	1.35 1.62 2.20	4
2026-09-14T13:32:26Z	1.77 1.71 2.22	4
2026-09-14T13:32:41Z	2.11 1.79 2.24	4
2026-09-14T13:32:56Z	2.31 1.85 2.25	4
2026-09-14T13:33:11Z	2.24 1.86 2.25	4
