traj_off_s3	1	73	worker=0;start=1790370512.29;design=1438.8;compiled=1	screen
traj_off_s3	2	93	worker=0;start=1790371951.12;design=3311.8;compiled=0	
traj_off_s3	3	73	worker=0;start=1790375901.53;design=3011.77;compiled=0	
traj_off_s3	4	151	worker=0;start=1790379668.25;design=5300.92;compiled=0	
traj_off_s3	5	82	worker=0;start=1790388467.32;design=3066.05;compiled=0	
traj_off_s3	6	119	worker=0;start=1790393050.58;design=3784.5;compiled=0	
accept_s4	1	173	worker=0;start=1790346807.43;design=9037.2;compiled=1	harden
accept_s4	2	152	worker=0;start=1790355845.47;design=7130.0;compiled=0	final
accept_s4	3	97	worker=0;start=1790362976.06;design=5126.39;compiled=0	mutate
accept_s4	4	128	worker=0;start=1790368102.94;design=5258.8;compiled=0	
accept_s4	5	94	worker=0;start=1790374652.53;design=4021.38;compiled=0	mutate
accept_s4	6	85	worker=0;start=1790378674.75;design=4460.33;compiled=0	mutate
