buck_p0	buck	0.101703	0.92	2.86
raw_p0	raw	0.101944	2.86	4.93
raw_p1	raw	0.096149	4.93	4.30
buck_p1	buck	0.088219	4.30	9.39
buck_p2	buck	0.097658	9.39	4.08
raw_p2	raw	0.099984	4.08	2.30
raw_p3	raw	0.106267	2.30	4.18
buck_p3	buck	0.108885	4.18	3.45
buck_p4	buck	0.110048	3.45	3.59
raw_p4	raw	0.103092	3.59	2.74
