12:33:31 0, 1980 MHz, 3201 MHz, 0 %, 34, 119.06 W
12:33:36 0, 1980 MHz, 3201 MHz, 0 %, 34, 119.71 W
12:33:41 0, 1980 MHz, 3201 MHz, 9 %, 35, 194.22 W
12:33:46 0, 1980 MHz, 3201 MHz, 2 %, 37, 374.97 W
12:33:51 0, 1980 MHz, 3201 MHz, 2 %, 39, 387.05 W
12:33:56 0, 1980 MHz, 3201 MHz, 2 %, 37, 132.22 W
12:34:01 0, 1980 MHz, 3201 MHz, 98 %, 48, 509.02 W
12:34:06 0, 1980 MHz, 3201 MHz, 99 %, 49, 503.12 W
12:34:12 0, 1980 MHz, 3201 MHz, 100 %, 51, 514.95 W
12:34:17 0, 1980 MHz, 3201 MHz, 100 %, 52, 511.08 W
12:34:22 0, 1980 MHz, 3201 MHz, 100 %, 53, 520.61 W
12:34:27 0, 1980 MHz, 3201 MHz, 100 %, 54, 491.81 W
12:34:32 0, 1980 MHz, 3201 MHz, 100 %, 55, 506.81 W
12:34:37 0, 1980 MHz, 3201 MHz, 100 %, 52, 499.12 W
12:34:42 0, 1980 MHz, 3201 MHz, 100 %, 52, 498.55 W
12:34:47 0, 1980 MHz, 3201 MHz, 53 %, 56, 495.55 W
12:34:52 0, 1980 MHz, 3201 MHz, 99 %, 56, 486.06 W
12:34:57 0, 1980 MHz, 3201 MHz, 99 %, 57, 489.82 W
12:35:02 0, 1980 MHz, 3201 MHz, 99 %, 58, 483.94 W
12:35:07 0, 1980 MHz, 3201 MHz, 99 %, 58, 512.67 W
12:35:12 0, 1980 MHz, 3201 MHz, 99 %, 59, 525.59 W
12:35:17 0, 1980 MHz, 3201 MHz, 99 %, 59, 522.02 W
12:35:22 0, 1980 MHz, 3201 MHz, 100 %, 59, 521.33 W
12:35:27 0, 1980 MHz, 3201 MHz, 25 %, 58, 400.97 W
12:35:32 0, 1980 MHz, 3201 MHz, 100 %, 57, 441.86 W
12:35:38 0, 1980 MHz, 3201 MHz, 100 %, 56, 350.79 W
12:35:43 0, 1980 MHz, 3201 MHz, 100 %, 52, 269.76 W
12:35:48 0, 1980 MHz, 3201 MHz, 1 %, 48, 301.64 W
12:35:53 0, 1980 MHz, 3201 MHz, 100 %, 55, 489.92 W
12:35:58 0, 1980 MHz, 3201 MHz, 100 %, 57, 488.96 W
12:36:03 0, 1980 MHz, 3201 MHz, 84 %, 55, 500.86 W
12:36:08 0, 1980 MHz, 3201 MHz, 100 %, 58, 518.97 W
12:36:13 0, 1980 MHz, 3201 MHz, 100 %, 59, 520.35 W
12:36:18 0, 1980 MHz, 3201 MHz, 99 %, 59, 505.76 W
12:36:23 0, 1980 MHz, 3201 MHz, 29 %, 59, 466.74 W
12:36:28 0, 1980 MHz, 3201 MHz, 38 %, 55, 486.28 W
12:36:33 0, 1980 MHz, 3201 MHz, 100 %, 60, 530.19 W
12:36:38 0, 1980 MHz, 3201 MHz, 100 %, 60, 516.53 W
12:36:43 0, 1980 MHz, 3201 MHz, 100 %, 61, 495.24 W
12:36:48 0, 1980 MHz, 3201 MHz, 100 %, 60, 523.56 W
12:36:53 0, 1980 MHz, 3201 MHz, 100 %, 57, 503.45 W
12:36:59 0, 1980 MHz, 3201 MHz, 100 %, 59, 510.58 W
12:37:04 0, 1980 MHz, 3201 MHz, 32 %, 59, 498.10 W
12:37:09 0, 1980 MHz, 3201 MHz, 82 %, 58, 507.38 W
12:37:14 0, 1980 MHz, 3201 MHz, 100 %, 60, 493.30 W
12:37:19 0, 1980 MHz, 3201 MHz, 100 %, 58, 499.08 W
12:37:24 0, 1980 MHz, 3201 MHz, 6 %, 58, 383.45 W
12:37:29 0, 1980 MHz, 3201 MHz, 99 %, 61, 483.32 W
12:37:34 0, 1980 MHz, 3201 MHz, 76 %, 61, 494.62 W
12:37:39 0, 1980 MHz, 3201 MHz, 43 %, 61, 503.08 W
12:37:44 0, 1980 MHz, 3201 MHz, 99 %, 62, 502.71 W
12:37:49 0, 1980 MHz, 3201 MHz, 99 %, 62, 518.96 W
12:37:54 0, 1980 MHz, 3201 MHz, 99 %, 62, 517.04 W
12:37:59 0, 1980 MHz, 3201 MHz, 99 %, 62, 522.27 W
12:38:04 0, 1980 MHz, 3201 MHz, 99 %, 62, 532.79 W
12:38:09 0, 1980 MHz, 3201 MHz, 99 %, 62, 528.03 W
12:38:14 0, 1980 MHz, 3201 MHz, 99 %, 63, 530.31 W
12:38:19 0, 1980 MHz, 3201 MHz, 100 %, 63, 528.67 W
12:38:25 0, 1980 MHz, 3201 MHz, 100 %, 63, 535.39 W
12:38:30 0, 1980 MHz, 3201 MHz, 100 %, 63, 531.02 W
12:38:35 0, 1980 MHz, 3201 MHz, 100 %, 63, 533.46 W
12:38:40 0, 1980 MHz, 3201 MHz, 100 %, 63, 534.39 W
12:38:45 0, 1980 MHz, 3201 MHz, 100 %, 63, 524.64 W
12:38:50 0, 1980 MHz, 3201 MHz, 100 %, 63, 503.58 W
12:38:55 0, 1980 MHz, 3201 MHz, 53 %, 61, 508.80 W
12:39:00 0, 1980 MHz, 3201 MHz, 21 %, 53, 356.89 W
12:39:05 0, 1980 MHz, 3201 MHz, 0 %, 44, 211.45 W
12:39:10 0, 1980 MHz, 3201 MHz, 100 %, 49, 266.92 W
12:39:15 0, 1980 MHz, 3201 MHz, 100 %, 50, 374.54 W
12:39:20 0, 1980 MHz, 3201 MHz, 100 %, 53, 516.76 W
12:39:25 0, 1980 MHz, 3201 MHz, 100 %, 55, 525.20 W
12:39:30 0, 1980 MHz, 3201 MHz, 63 %, 56, 514.48 W
12:39:35 0, 1980 MHz, 3201 MHz, 41 %, 57, 494.13 W
12:39:40 0, 1980 MHz, 3201 MHz, 73 %, 54, 481.19 W
12:39:45 0, 1980 MHz, 3201 MHz, 100 %, 58, 496.36 W
12:39:50 0, 1980 MHz, 3201 MHz, 88 %, 56, 496.51 W
12:39:56 0, 1980 MHz, 3201 MHz, 32 %, 58, 491.50 W
12:40:01 0, 1980 MHz, 3201 MHz, 35 %, 59, 486.88 W
12:40:06 0, 1980 MHz, 3201 MHz, 44 %, 59, 494.23 W
12:40:11 0, 1980 MHz, 3201 MHz, 99 %, 60, 499.47 W
12:40:16 0, 1980 MHz, 3201 MHz, 99 %, 60, 519.04 W
12:40:21 0, 1980 MHz, 3201 MHz, 99 %, 61, 527.54 W
12:40:26 0, 1980 MHz, 3201 MHz, 100 %, 61, 519.02 W
12:40:31 0, 1980 MHz, 3201 MHz, 99 %, 61, 512.80 W
12:40:36 0, 1980 MHz, 3201 MHz, 99 %, 61, 520.67 W
12:40:41 0, 1980 MHz, 3201 MHz, 99 %, 60, 505.34 W
12:40:46 0, 1980 MHz, 3201 MHz, 25 %, 60, 479.48 W
12:40:51 0, 1980 MHz, 3201 MHz, 2 %, 59, 398.48 W
12:40:56 0, 1980 MHz, 3201 MHz, 99 %, 61, 511.56 W
12:41:01 0, 1980 MHz, 3201 MHz, 99 %, 61, 518.22 W
12:41:06 0, 1980 MHz, 3201 MHz, 99 %, 61, 524.37 W
12:41:12 0, 1980 MHz, 3201 MHz, 98 %, 61, 520.46 W
12:41:17 0, 1980 MHz, 3201 MHz, 98 %, 62, 530.71 W
12:41:22 0, 1980 MHz, 3201 MHz, 99 %, 62, 526.72 W
12:41:27 0, 1980 MHz, 3201 MHz, 98 %, 62, 529.17 W
12:41:32 0, 1980 MHz, 3201 MHz, 100 %, 63, 528.82 W
12:41:37 0, 1980 MHz, 3201 MHz, 100 %, 63, 525.30 W
12:41:42 0, 1980 MHz, 3201 MHz, 100 %, 63, 531.89 W
12:41:47 0, 1980 MHz, 3201 MHz, 100 %, 63, 521.53 W
12:41:52 0, 1980 MHz, 3201 MHz, 100 %, 63, 539.84 W
12:41:57 0, 1980 MHz, 3201 MHz, 100 %, 59, 501.75 W
12:42:02 0, 1980 MHz, 3201 MHz, 100 %, 63, 510.18 W
12:42:07 0, 1980 MHz, 3201 MHz, 97 %, 61, 506.16 W
12:42:12 0, 1980 MHz, 3201 MHz, 31 %, 64, 505.46 W
12:42:17 0, 1980 MHz, 3201 MHz, 54 %, 59, 492.54 W
12:42:22 0, 1980 MHz, 3201 MHz, 100 %, 63, 510.07 W
12:42:27 0, 1980 MHz, 3201 MHz, 100 %, 60, 400.80 W
12:42:32 0, 1980 MHz, 3201 MHz, 75 %, 60, 391.43 W
12:42:38 0, 1980 MHz, 3201 MHz, 100 %, 60, 337.52 W
12:42:43 0, 1980 MHz, 3201 MHz, 100 %, 56, 279.44 W
12:42:48 0, 1980 MHz, 3201 MHz, 99 %, 59, 494.48 W
12:42:53 0, 1980 MHz, 3201 MHz, 99 %, 60, 506.29 W
12:42:58 0, 1980 MHz, 3201 MHz, 64 %, 60, 515.84 W
12:43:03 0, 1980 MHz, 3201 MHz, 99 %, 60, 493.17 W
12:43:08 0, 1980 MHz, 3201 MHz, 99 %, 59, 505.20 W
12:43:13 0, 1980 MHz, 3201 MHz, 99 %, 57, 496.19 W
12:43:18 0, 1980 MHz, 3201 MHz, 99 %, 53, 508.96 W
12:43:23 0, 1980 MHz, 3201 MHz, 99 %, 51, 498.36 W
12:43:28 0, 1980 MHz, 3201 MHz, 99 %, 50, 508.44 W
12:43:33 0, 1980 MHz, 3201 MHz, 99 %, 49, 493.52 W
12:43:38 0, 1980 MHz, 3201 MHz, 98 %, 51, 511.43 W
12:43:43 0, 1980 MHz, 3201 MHz, 99 %, 53, 519.43 W
12:43:48 0, 1980 MHz, 3201 MHz, 99 %, 54, 513.52 W
12:43:53 0, 1980 MHz, 3201 MHz, 100 %, 55, 521.63 W
12:43:58 0, 1980 MHz, 3201 MHz, 99 %, 55, 491.99 W
12:44:04 0, 1980 MHz, 3201 MHz, 0 %, 51, 412.68 W
12:44:09 0, 1980 MHz, 3201 MHz, 100 %, 57, 520.22 W
12:44:14 0, 1980 MHz, 3201 MHz, 100 %, 58, 515.42 W
12:44:19 0, 1980 MHz, 3201 MHz, 57 %, 53, 397.15 W
12:44:24 0, 1980 MHz, 3201 MHz, 100 %, 55, 494.48 W
12:44:29 0, 1980 MHz, 3201 MHz, 100 %, 56, 518.86 W
12:44:34 0, 1980 MHz, 3201 MHz, 100 %, 51, 501.60 W
12:44:39 0, 1980 MHz, 3201 MHz, 100 %, 52, 500.49 W
12:44:44 0, 1980 MHz, 3201 MHz, 100 %, 50, 493.29 W
12:44:49 0, 1980 MHz, 3201 MHz, 100 %, 52, 487.68 W
12:44:54 0, 1980 MHz, 3201 MHz, 64 %, 52, 494.13 W
12:44:59 0, 1980 MHz, 3201 MHz, 100 %, 54, 469.60 W
12:45:04 0, 1980 MHz, 3201 MHz, 100 %, 53, 492.90 W
12:45:09 0, 1980 MHz, 3201 MHz, 35 %, 56, 501.09 W
12:45:14 0, 1980 MHz, 3201 MHz, 37 %, 57, 497.20 W
12:45:19 0, 1980 MHz, 3201 MHz, 55 %, 58, 491.20 W
12:45:24 0, 1980 MHz, 3201 MHz, 98 %, 58, 497.13 W
12:45:29 0, 1980 MHz, 3201 MHz, 93 %, 59, 492.45 W
12:45:35 0, 1980 MHz, 3201 MHz, 64 %, 59, 499.02 W
12:45:40 0, 1980 MHz, 3201 MHz, 99 %, 60, 489.66 W
12:45:45 0, 1980 MHz, 3201 MHz, 99 %, 60, 526.59 W
12:45:50 0, 1980 MHz, 3201 MHz, 99 %, 60, 510.83 W
