affected padded lengths (computed from tt_bio at this commit): [288, 352, 416, 544, 608, 704, 736, 832, 864, 928, 992, 1056, 1088, 1184, 1216, 1248, 1312, 1376, 1472, 1504]
ladder rungs that appear in findings: [256, 512, 640, 768, 896, 1024]
of those, affected by the flag: []

model        rung      lever                         verdict
openbind     512       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
openbind     640       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
openbind     768       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
openbind     896       SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung
openbind     1024      SDPA_WIDE_K                   flip: resolved-value only, bit-identical at this rung

  47  main: the flip changes no bytes at this rung
  30  flip: resolved-value only, bit-identical at this rung

NEGATIVE CONTROL: treating protenix-v1/256 REBLOCK_PERMUTE as a firing rung MOVES its verdict ('main: the flip changes no bytes at this rung' -> 'AMBIGUOUS: other lever at a rung the flip can reach')

findings this flag could have caused: 0
