profiled Boltz.forward wall 44.963 s

===== BY CUMULATIVE TIME (top 45) =====
         3508872 function calls (3477030 primitive calls) in 44.877 seconds

   Ordered by: cumulative time
   List reduced from 413 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1648    0.014    0.000    1.013    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/mm_generic.py:304(generic_minimal_matmul)
        1    0.046    0.046    0.935    0.935 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/encoders.py:353(forward)
     1120    0.008    0.000    0.882    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:2039(_transform_chunk)



===== BY TOTAL (SELF) TIME (top 45) =====
         3508872 function calls (3477030 primitive calls) in 44.877 seconds

   Ordered by: internal time
   List reduced from 413 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1115482/1084212   32.117    0.000   35.555    0.000 /home/ttuser/.local/lib/python3.10/site-packages/ttnn/decorators.py:455(__call__)
     1178    2.753    0.002    2.774    0.002 /home/ttuser/.local/lib/python3.10/site-packages/ttnn/operations/core.py:241(from_torch)
      116    1.392    0.012    1.392    0.012 {built-in method torch._C._nn.linear}
     1648    0.555    0.000    0.576    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/mm_generic.py:321(rebind)
        3    0.532    0.177    1.351    0.450 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/layers/transition.py:43(forward)
    15256    0.474    0.000    7.978    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:2973(__call__)
     2516    0.461    0.000    0.461    0.000 {built-in method torch.einsum}
    24512    0.432    0.000    1.186    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:758(batched_matmul)
       50    0.417    0.008    1.117    0.022 /home/ttuser/.local/lib/python3.10/site-packages/torch/nn/modules/container.py:248(forward)
    30768    0.368    0.000    1.505    0.000 /home/ttuser/.local/lib/python3.10/site-packages/ttnn/operations/core.py:36(__getitem__)
       49    0.315    0.006    0.315    0.006 {built-in method torch.layer_norm}
    30000    0.291    0.000    4.733    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3686(__call__)
      152    0.212    0.001    0.212    0.001 {built-in method torch.cat}
      560    0.198    0.000    0.358    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/sdpa_generic.py:350(sdpa)
     2506    0.198    0.000    0.198    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    15000    0.192    0.000   16.185    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3823(__call__)
    15000    0.191    0.000    5.123    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3745(__call__)
  785/512    0.164    0.000   43.352    0.085 /home/ttuser/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:1783(_call_impl)
      502    0.143    0.000    2.440    0.005 /home/ttuser/.local/lib/python3.10/site-packages/ttnn/operations/core.py:367(to_torch)
        1    0.141    0.141   44.883   44.883 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/models/boltz.py:469(forward)
        1    0.133    0.133    1.372    1.372 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5487(precompute)
        1    0.114    0.114    0.217    0.217 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/trunk.py:30(forward)
     1501    0.113    0.000    0.113    0.000 {built-in method torch.randn}
      500    0.112    0.000    0.567    0.001 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/geometry.py:17(weighted_rigid_align)
     1500    0.102    0.000   17.022    0.011 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3878(__call__)
        1    0.099    0.099    0.863    0.863 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/encoders.py:226(forward)
        1    0.091    0.091   23.200   23.200 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/diffusion.py:301(sample)
     2001    0.087    0.000    0.087    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
    12360    0.076    0.000    4.344    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:3161(swiglu)
      500    0.074    0.000   22.071    0.044 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/diffusion.py:179(preconditioned_network_forward)
      518    0.070    0.000    0.070    0.000 {built-in method torch._C._nn.pad}
      500    0.065    0.000   21.808    0.044 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5067(forward)
        6    0.065    0.011    0.065    0.011 {built-in method torch._C._nn.silu}
647440/647439    0.062    0.000    0.062    0.000 {built-in method builtins.len}
        1    0.056    0.056    2.012    2.012 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:5589(_build_static)
      502    0.052    0.000    2.688    0.005 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:4678(_to_torch)
        1    0.051    0.051    0.051    0.051 {built-in method torch.exp}
    49024    0.049    0.000    0.049    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:746(_dram_interleaved)
    30768    0.047    0.000    1.618    0.000 /home/ttuser/.local/lib/python3.10/site-packages/ttnn/__init__.py:401(<lambda>)
        1    0.046    0.046    0.935    0.935 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/encoders.py:353(forward)
   627951    0.044    0.000    0.044    0.000 {method 'append' of 'list' objects}
      500    0.043    0.000    0.077    0.000 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/boltzgen/model/modules/utils.py:156(quaternion_to_matrix)
      500    0.042    0.000   17.600    0.035 /home/ttuser/.coworker/wt/boltzgen-optimize-on-fixture/tt_bio/tenstorrent.py:4471(__call__)
      500    0.040    0.000    0.040    0.000 {built-in method torch._C._linalg.linalg_svd}
    38224    0.039    0.000    0.039    0.000 /usr/lib/python3.10/enum.py:749(__str__)


