[release-gate] granted card(s) [3]
[release-gate] scoring tt_bio from /home/ttuser/.coworker/wt/land-standing/tt_bio (commit a6c39ac87)

======================================================================
[esmfold2-fast] folding prot.yaml (200 steps, 5 samples)
======================================================================
08:42:33  [tt-quietbox2:tt3] loading model…
08:42:54  [tt-quietbox2:tt3] prot
08:43:08  [tt-quietbox2:tt3]   diffusion 64/134
08:43:08  [tt-quietbox2:tt3]   diffusion 65/134
08:43:08  [tt-quietbox2:tt3]   diffusion 66/134
08:43:08  [tt-quietbox2:tt3]   diffusion 67/134
08:43:08  [tt-quietbox2:tt3]   diffusion 68/134
08:43:08  [tt-quietbox2:tt3]   diffusion 69/134
08:43:08  [tt-quietbox2:tt3]   diffusion 70/134
08:43:08  [tt-quietbox2:tt3]   diffusion 71/134
08:43:08  [tt-quietbox2:tt3]   diffusion 72/134
08:43:08  [tt-quietbox2:tt3]   diffusion 73/134
08:43:08  [tt-quietbox2:tt3]   diffusion 74/134
08:43:08  [tt-quietbox2:tt3]   diffusion 75/134
08:43:08  [tt-quietbox2:tt3]   diffusion 76/134
08:43:08  [tt-quietbox2:tt3]   diffusion 77/134
08:43:08  [tt-quietbox2:tt3]   diffusion 78/134
08:43:09  [tt-quietbox2:tt3]   diffusion 79/134
08:43:09  [tt-quietbox2:tt3]   diffusion 80/134
08:43:09  [tt-quietbox2:tt3]   diffusion 81/134
08:43:09  [tt-quietbox2:tt3]   diffusion 82/134
08:43:09  [tt-quietbox2:tt3]   diffusion 83/134
08:43:09  [tt-quietbox2:tt3]   diffusion 84/134
08:43:09  [tt-quietbox2:tt3]   diffusion 85/134
08:43:09  [tt-quietbox2:tt3]   diffusion 86/134
08:43:09  [tt-quietbox2:tt3]   diffusion 87/134
08:43:09  [tt-quietbox2:tt3]   diffusion 88/134
08:43:09  [tt-quietbox2:tt3]   diffusion 89/134
08:43:09  [tt-quietbox2:tt3]   diffusion 90/134
08:43:09  [tt-quietbox2:tt3]   diffusion 91/134
08:43:09  [tt-quietbox2:tt3]   diffusion 92/134
08:43:09  [tt-quietbox2:tt3]   diffusion 93/134
08:43:09  [tt-quietbox2:tt3]   diffusion 94/134
08:43:10  [tt-quietbox2:tt3]   diffusion 95/134
08:43:10  [tt-quietbox2:tt3]   diffusion 96/134
08:43:10  [tt-quietbox2:tt3]   diffusion 97/134
08:43:10  [tt-quietbox2:tt3]   diffusion 98/134
08:43:10  [tt-quietbox2:tt3]   diffusion 99/134
08:43:10  [tt-quietbox2:tt3]   diffusion 100/134
08:43:10  [tt-quietbox2:tt3]   diffusion 101/134
08:43:10  [tt-quietbox2:tt3]   diffusion 102/134
08:43:10  [tt-quietbox2:tt3]   diffusion 103/134
08:43:10  [tt-quietbox2:tt3]   diffusion 104/134
08:43:10  [tt-quietbox2:tt3]   diffusion 105/134
08:43:10  [tt-quietbox2:tt3]   diffusion 106/134
08:43:10  [tt-quietbox2:tt3]   diffusion 107/134
08:43:10  [tt-quietbox2:tt3]   diffusion 108/134
08:43:10  [tt-quietbox2:tt3]   diffusion 109/134
08:43:10  [tt-quietbox2:tt3]   diffusion 110/134
08:43:11  [tt-quietbox2:tt3]   diffusion 111/134
08:43:11  [tt-quietbox2:tt3]   diffusion 112/134
08:43:11  [tt-quietbox2:tt3]   diffusion 113/134
08:43:11  [tt-quietbox2:tt3]   diffusion 114/134
08:43:11  [tt-quietbox2:tt3]   diffusion 115/134
08:43:11  [tt-quietbox2:tt3]   diffusion 116/134
08:43:11  [tt-quietbox2:tt3]   diffusion 117/134
08:43:11  [tt-quietbox2:tt3]   diffusion 118/134
08:43:11  [tt-quietbox2:tt3]   diffusion 119/134
08:43:11  [tt-quietbox2:tt3]   diffusion 120/134
08:43:11  [tt-quietbox2:tt3]   diffusion 121/134
08:43:11  [tt-quietbox2:tt3]   diffusion 122/134
08:43:11  [tt-quietbox2:tt3]   diffusion 123/134
08:43:11  [tt-quietbox2:tt3]   diffusion 124/134
08:43:11  [tt-quietbox2:tt3]   diffusion 125/134
08:43:11  [tt-quietbox2:tt3]   diffusion 126/134
