TTPROF rank_pid=2752495 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF getFourierTransformsAndCtfs                       19.3160         1116     2.63%
TTPROF nonZeroProb                                       14.0737         1116     1.92%
TTPROF readData                                           0.0387         1116     0.01%
TTPROF ParaReadPrereadImages                              0.0366         1116     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.1145         1116     0.02%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            0.7223         1116     0.10%
TTPROF normalizeAndTransform_recImg                       0.8973         1116     0.12%
TTPROF selfApplyBeamTilt                                  0.0009         2232     0.00%
TTPROF applyMask                                          1.1905         1116     0.16%
TTPROF normalizeAndTransform                              0.8731         1116     0.12%
TTPROF powerClass                                         0.3383         1116     0.05%
TTPROF CTFRead2D                                          0.8471         1116     0.12%
TTPROF weightPass                                       689.7652         2232    94.02%
TTPROF getAllSquaredDifferencesCoarse                   665.5191         1116    90.71%
TTPROF diff_pre_gpu                                       0.2250         2232     0.03%
TTPROF generateProjectionSetupCoarse                      0.0359         1116     0.00%
TTPROF translation_1                                      0.1232         1116     0.02%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.1020         1116     0.01%
TTPROF get_orient_priors                                  0.0102         2232     0.00%
TTPROF get_offset_priors                                  0.0012         2232     0.00%
TTPROF sumweight1                                         0.0982         2232     0.01%
TTPROF sort                                               0.0677         2232     0.01%
TTPROF getArgMaxOnDevice                                  0.0030         2232     0.00%
TTPROF generateProjectionSetup                            0.0258         1116     0.00%
TTPROF getAllSquaredDifferencesFine                      24.0898         1116     3.28%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.0637         1116     0.01%
TTPROF translation_2                                      0.1234         1116     0.02%
TTPROF kernel_init_1                                      0.0232         1116     0.00%
TTPROF pair_list_1                                        0.0059         1116     0.00%
TTPROF IndexedArrayMemCp2                                 0.0001         1116     0.00%
TTPROF generateEulerMatrices                              0.0088         1116     0.00%
TTPROF Diff2MakeKernel                                    0.0006         1116     0.00%
