TTPROF rank_pid=2755623 stages=51 denominator=oneParticle
TTPROF region                                        cpu-seconds        calls  %onePart
TTPROF getFourierTransformsAndCtfs                       19.2738         1116     2.64%
TTPROF nonZeroProb                                       13.9155         1116     1.91%
TTPROF readData                                           0.0379         1116     0.01%
TTPROF ParaReadPrereadImages                              0.0360         1116     0.00%
TTPROF init                                               0.0000            0     0.00%
TTPROF makeNoiseMask                                      0.1557         1116     0.02%
TTPROF HelicalPrep                                        0.0000            0     0.00%
TTPROF TranslateAndNormCorrect                            0.8104         1116     0.11%
TTPROF normalizeAndTransform_recImg                       0.9014         1116     0.12%
TTPROF selfApplyBeamTilt                                  0.0010         2232     0.00%
TTPROF applyMask                                          1.1884         1116     0.16%
TTPROF normalizeAndTransform                              0.8753         1116     0.12%
TTPROF powerClass                                         0.3364         1116     0.05%
TTPROF CTFRead2D                                          0.8447         1116     0.12%
TTPROF weightPass                                       685.3924         2232    93.99%
TTPROF getAllSquaredDifferencesCoarse                   661.1596         1116    90.67%
TTPROF diff_pre_gpu                                       0.2153         2232     0.03%
TTPROF generateProjectionSetupCoarse                      0.0358         1116     0.00%
TTPROF translation_1                                      0.1115         1116     0.02%
TTPROF convertAllSquaredDifferencesToWeightsCoarse         0.1015         1116     0.01%
TTPROF get_orient_priors                                  0.0103         2232     0.00%
TTPROF get_offset_priors                                  0.0014         2232     0.00%
TTPROF sumweight1                                         0.0972         2232     0.01%
TTPROF sort                                               0.0671         2232     0.01%
TTPROF getArgMaxOnDevice                                  0.0029         2232     0.00%
TTPROF generateProjectionSetup                            0.0254         1116     0.00%
TTPROF getAllSquaredDifferencesFine                      24.0783         1116     3.30%
TTPROF precalculateShiftedImagesCtfsAndInvSigma2s         0.0519         1116     0.01%
TTPROF translation_2                                      0.1109         1116     0.02%
TTPROF kernel_init_1                                      0.0228         1116     0.00%
TTPROF pair_list_1                                        0.0059         1116     0.00%
TTPROF IndexedArrayMemCp2                                 0.0001         1116     0.00%
TTPROF generateEulerMatrices                              0.0089         1116     0.00%
TTPROF Diff2MakeKernel                                    0.0008         1116     0.00%
TTPROF Diff2CALL                                         23.8409         1116     3.27%
TTPROF collect_data_1                                     0.0007         1116     0.00%
TTPROF convertAllSquaredDifferencesToWeightsFine          0.0189         1116     0.00%
TTPROF storeWeightedSums                                 24.5075         1116     3.36%
TTPROF store_init                                         0.0746         1116     0.01%
TTPROF collect_data_2                                     0.0244         1116     0.00%
TTPROF collect_data_2_pre_kernel                          0.0042         1116     0.00%
TTPROF collect_data_2_post_kernel                         0.0005         1116     0.00%
TTPROF setMetadata                                        0.0141         1116     0.00%
TTPROF maximization                                      24.1454         1116     3.31%
